ensembl	gene_name	entrez
ENSG00000006607	FARP2	9855.0
ENSG00000006611	USH1C	10083.0
ENSG00000006625	GGCT	79017.0
ENSG00000006634	DBF4	10926.0
ENSG00000006638	TBXA2R	6915.0
ENSG00000006652	IFRD1	3475.0
ENSG00000006695	COX10	1352.0
ENSG00000006704	GTF2IRD1	9569.0
ENSG00000006712	PAF1	54623.0
ENSG00000006715	VPS41	27072.0
ENSG00000006740	ARHGAP44	9912.0
ENSG00000006744	ELAC2	60528.0
ENSG00000006747	SCIN	85477.0
ENSG00000006756	ARSD	414.0
ENSG00000006757	PNPLA4	8228.0
ENSG00000006788	MYH13	8735.0
ENSG00000006831	ADIPOR2	79602.0
ENSG00000006837	CDKL3	51265.0
ENSG00000007001	UPP2	151531.0
ENSG00000007038	PRSS21	10942.0
ENSG00000007047	MARK4	57787.0
ENSG00000007062	PROM1	8842.0
ENSG00000007080	CCDC124	115098.0
ENSG00000007129	CEACAM21	90273.0
ENSG00000007168	PAFAH1B1	5048.0
ENSG00000007171	NOS2	4843.0
ENSG00000007174	DNAH9	1770.0
ENSG00000007202	BLTP2	9703.0
ENSG00000007216	SLC13A2	9058.0
ENSG00000007237	GAS7	8522.0
ENSG00000007255	TRAPPC6A	79090.0
ENSG00000007264	MATK	4145.0
ENSG00000007306	CEACAM7	1087.0
ENSG00000007312	CD79B	974.0
ENSG00000007314	SCN4A	6329.0
ENSG00000007341	ST7L	54879.0
ENSG00000007350	TKTL1	8277.0
ENSG00000007372	PAX6	5080.0
ENSG00000007376	RPUSD1	113000.0
ENSG00000007384	RHBDF1	64285.0
ENSG00000007392	LUC7L	55692.0
ENSG00000007402	CACNA2D2	9254.0
ENSG00000007516	BAIAP3	8938.0
ENSG00000007520	TSR3	115939.0
ENSG00000007541	PIGQ	9091.0
ENSG00000007545	CRAMP1	57585.0
ENSG00000007866	TEAD3	7005.0
ENSG00000007908	SELE	6401.0
ENSG00000007923	DNAJC11	55735.0
ENSG00000007944	MYLIP	29116.0
ENSG00000007968	E2F2	1870.0
ENSG00000008018	PSMB1	5689.0
ENSG00000008056	SYN1	6853.0
ENSG00000008083	JARID2	3720.0
ENSG00000008086	CDKL5	6792.0
ENSG00000008118	CAMK1G	57172.0
ENSG00000008128	CDK11A	728642.0
ENSG00000008130	NADK	65220.0
ENSG00000008196	TFAP2B	7021.0
ENSG00000008197	TFAP2D	83741.0
ENSG00000008226	DLEC1	9940.0
ENSG00000008256	CYTH3	9265.0
ENSG00000008277	ADAM22	53616.0
ENSG00000008282	SYPL1	6856.0
ENSG00000008283	CYB561	1534.0
ENSG00000008294	SPAG9	9043.0
ENSG00000008300	CELSR3	1951.0
ENSG00000008311	AASS	10157.0
ENSG00000008323	PLEKHG6	55200.0
ENSG00000008324	SS18L2	51188.0
ENSG00000008382	MPND	84954.0
ENSG00000008394	MGST1	4257.0
ENSG00000008405	CRY1	1407.0
ENSG00000008438	PGLYRP1	8993.0
ENSG00000008441	NFIX	4784.0
ENSG00000008513	ST3GAL1	6482.0
ENSG00000008516	MMP25	64386.0
ENSG00000008710	PKD1	5310.0
ENSG00000008735	MAPK8IP2	23542.0
ENSG00000008838	MED24	9862.0
ENSG00000008853	RHOBTB2	23221.0
ENSG00000008869	HEATR5B	54497.0
ENSG00000008952	SEC62	7095.0
ENSG00000008988	RPS20	6224.0
ENSG00000009307	CSDE1	7812.0
ENSG00000009335	UBE3C	9690.0
ENSG00000009413	REV3L	5980.0
ENSG00000009694	TENM1	10178.0
ENSG00000009709	PAX7	5081.0
ENSG00000009724	MASP2	10747.0
ENSG00000009765	IYD	389434.0
ENSG00000009780	FAM76A	199870.0
ENSG00000009790	TRAF3IP3	80342.0
ENSG00000009830	POMT2	29954.0
ENSG00000009844	VTA1	51534.0
ENSG00000009950	MLXIPL	51085.0
ENSG00000009954	BAZ1B	9031.0
ENSG00000010017	RANBP9	10048.0
ENSG00000010030	ETV7	51513.0
ENSG00000010072	SPRTN	83932.0
ENSG00000010165	METTL13	51603.0
ENSG00000010219	DYRK4	8798.0
ENSG00000010244	ZNF207	7756.0
ENSG00000010256	UQCRC1	7384.0
ENSG00000010270	STARD3NL	83930.0
ENSG00000010278	CD9	928.0
ENSG00000010282	HHATL	57467.0
ENSG00000010292	NCAPD2	9918.0
ENSG00000010295	IFFO1	25900.0
ENSG00000010310	GIPR	2696.0
ENSG00000010318	PHF7	51533.0
ENSG00000010319	SEMA3G	56920.0
ENSG00000010322	NISCH	11188.0
ENSG00000010327	STAB1	23166.0
ENSG00000010361	FUZ	80199.0
ENSG00000010379	SLC6A13	6540.0
ENSG00000010404	IDS	3423.0
ENSG00000010438	PRSS3	5646.0
ENSG00000010539	ZNF200	7752.0
ENSG00000010610	CD4	920.0
ENSG00000010626	LRRC23	10233.0
ENSG00000010671	BTK	695.0
ENSG00000010704	HFE	3077.0
ENSG00000010803	SCMH1	22955.0
ENSG00000010810	FYN	2534.0
ENSG00000010818	HIVEP2	3097.0
ENSG00000010932	FMO1	2326.0
ENSG00000011007	ELOA	6924.0
ENSG00000011009	LYPLA2	11313.0
ENSG00000011021	CLCN6	1185.0
ENSG00000011028	MRC2	9902.0
ENSG00000011083	SLC6A7	6534.0
ENSG00000011105	TSPAN9	10867.0
ENSG00000011114	BTBD7	55727.0
ENSG00000011132	APBA3	9546.0
ENSG00000011143	MKS1	54903.0
ENSG00000011198	ABHD5	51099.0
ENSG00000011201	ANOS1	3730.0
ENSG00000011243	AKAP8L	26993.0
ENSG00000011258	MBTD1	54799.0
ENSG00000011260	UTP18	51096.0
ENSG00000011275	RNF216	54476.0
ENSG00000011295	TTC19	54902.0
ENSG00000011304	PTBP1	5725.0
ENSG00000011332	DPF1	8193.0
ENSG00000011347	SYT7	9066.0
ENSG00000011376	LARS2	23395.0
ENSG00000011405	PIK3C2A	5286.0
ENSG00000011422	PLAUR	5329.0
ENSG00000011426	ANLN	54443.0
ENSG00000011451	WIZ	58525.0
ENSG00000011454	RABGAP1	23637.0
ENSG00000011465	DCN	1634.0
ENSG00000011478	QPCTL	54814.0
ENSG00000011485	PPP5C	5536.0
ENSG00000011523	CEP68	23177.0
ENSG00000011566	MAP4K3	8491.0
ENSG00000011590	ZBTB32	27033.0
ENSG00000011600	TYROBP	7305.0
ENSG00000011638	LDAF1	57146.0
ENSG00000011677	GABRA3	2556.0
ENSG00000012048	BRCA1	672.0
ENSG00000012061	ERCC1	2067.0
ENSG00000012124	CD22	933.0
ENSG00000012171	SEMA3B	7869.0
ENSG00000012174	MBTPS2	51360.0
ENSG00000012211	PRICKLE3	4007.0
ENSG00000012223	LTF	4057.0
ENSG00000012232	EXTL3	2137.0
ENSG00000012504	NR1H4	9971.0
ENSG00000012660	ELOVL5	60481.0
ENSG00000012779	ALOX5	240.0
ENSG00000012822	CALCOCO1	57658.0
ENSG00000012963	UBR7	55148.0
ENSG00000012983	MAP4K5	11183.0
ENSG00000013016	EHD3	30845.0
ENSG00000013275	PSMC4	5704.0
ENSG00000013288	MAN2B2	23324.0
ENSG00000013293	SLC7A14	57709.0
ENSG00000013297	CLDN11	5010.0
ENSG00000013306	SLC25A39	51629.0
ENSG00000013364	MVP	9961.0
ENSG00000013374	NUB1	51667.0
ENSG00000013375	PGM3	5238.0
ENSG00000013392	RWDD2A	112611.0
ENSG00000013441	CLK1	1195.0
ENSG00000013503	POLR3B	55703.0
ENSG00000013523	ANGEL1	23357.0
ENSG00000013561	RNF14	9604.0
ENSG00000013563	DNASE1L1	1774.0
ENSG00000013573	DDX11	1663.0
ENSG00000013583	HEBP1	50865.0
ENSG00000013588	GPRC5A	9052.0
ENSG00000013619	MAMLD1	10046.0
ENSG00000013725	CD6	923.0
ENSG00000013810	TACC3	10460.0
ENSG00000014123	UFL1	23376.0
ENSG00000014138	POLA2	23649.0
ENSG00000014164	ZC3H3	23144.0
ENSG00000014216	CAPN1	823.0
ENSG00000014257	ACP3	55.0
ENSG00000014641	MDH1	4190.0
ENSG00000014824	SLC30A9	10463.0
ENSG00000014914	MTMR11	10903.0
ENSG00000014919	COX15	1355.0
ENSG00000015133	CCDC88C	440193.0
ENSG00000015153	YAF2	10138.0
ENSG00000015171	ZMYND11	10771.0
ENSG00000015285	WAS	7454.0
ENSG00000015413	DPEP1	1800.0
ENSG00000015475	BID	637.0
ENSG00000015479	MATR3	9782.0
ENSG00000015520	NPC1L1	29881.0
ENSG00000015532	XYLT2	64132.0
ENSG00000015568	RGPD5	727851.0
ENSG00000015592	STMN4	81551.0
ENSG00000015676	NUDCD3	23386.0
ENSG00000016082	ISL1	3670.0
ENSG00000016391	CHDH	55349.0
ENSG00000016402	IL20RA	53832.0
ENSG00000016490	CLCA1	1179.0
ENSG00000016602	CLCA4	22802.0
ENSG00000016864	GLT8D1	55830.0
ENSG00000017260	ATP2C1	27032.0
ENSG00000017427	IGF1	3479.0
ENSG00000017483	SLC38A5	92745.0
ENSG00000017797	RALBP1	10928.0
ENSG00000018189	RUFY3	22902.0
ENSG00000018236	CNTN1	1272.0
ENSG00000018280	SLC11A1	6556.0
ENSG00000018408	WWTR1	25937.0
ENSG00000018510	AGPS	8540.0
ENSG00000018610	STEEP1	63932.0
ENSG00000018625	ATP1A2	477.0
ENSG00000018699	TTC27	55622.0
ENSG00000018869	ZNF582	147948.0
ENSG00000019102	VSIG2	23584.0
ENSG00000019144	PHLDB1	23187.0
ENSG00000019169	MARCO	8685.0
ENSG00000019186	CYP24A1	1591.0
ENSG00000019485	PRDM11	56981.0
ENSG00000019505	SYT13	57586.0
ENSG00000019549	SNAI2	6591.0
ENSG00000019582	CD74	972.0
ENSG00000019991	HGF	3082.0
ENSG00000019995	ZRANB1	54764.0
ENSG00000020129	NCDN	23154.0
ENSG00000020181	ADGRA2	25960.0
ENSG00000020256	ZFP64	55734.0
ENSG00000020426	MNAT1	4331.0
ENSG00000020577	SAMD4A	23034.0
ENSG00000020633	RUNX3	864.0
ENSG00000020922	MRE11	4361.0
ENSG00000021300	PLEKHB1	58473.0
ENSG00000021355	SERPINB1	1992.0
ENSG00000021461	CYP3A43	64816.0
ENSG00000021488	SLC7A9	11136.0
ENSG00000021574	SPAST	6683.0
ENSG00000021645	NRXN3	9369.0
ENSG00000021762	OSBPL5	114879.0
ENSG00000021776	AQR	9716.0
ENSG00000021826	CPS1	1373.0
ENSG00000021852	C8B	732.0
ENSG00000022267	FHL1	2273.0
ENSG00000022277	RTF2	51507.0
ENSG00000022355	GABRA1	2554.0
ENSG00000022556	NLRP2	55655.0
ENSG00000022567	SLC45A4	57210.0
ENSG00000022840	RNF10	9921.0
ENSG00000022976	ZNF839	55778.0
ENSG00000023041	ZDHHC6	64429.0
ENSG00000023171	GRAMD1B	57476.0
ENSG00000023191	RNH1	6050.0
ENSG00000023228	NDUFS1	4719.0
ENSG00000023287	RB1CC1	9821.0
ENSG00000023318	ERP44	23071.0
ENSG00000023330	ALAS1	211.0
ENSG00000023445	BIRC3	330.0
ENSG00000023516	AKAP11	11215.0
ENSG00000023572	GLRX2	51022.0
ENSG00000023608	SNAPC1	6617.0
ENSG00000023697	DERA	51071.0
ENSG00000023734	STRAP	11171.0
ENSG00000023839	ABCC2	1244.0
ENSG00000023892	DEF6	50619.0
ENSG00000023902	PLEKHO1	51177.0
ENSG00000023909	GCLM	2730.0
ENSG00000024048	UBR2	23304.0
ENSG00000024422	EHD2	30846.0
ENSG00000024526	DEPDC1	55635.0
ENSG00000024862	CCDC28A	25901.0
ENSG00000025039	RRAGD	58528.0
ENSG00000025156	HSF2	3298.0
ENSG00000025293	PHF20	51230.0
ENSG00000025423	HSD17B6	8630.0
ENSG00000025434	NR1H3	10062.0
ENSG00000025708	TYMP	1890.0
ENSG00000025770	NCAPH2	29781.0
ENSG00000025772	TOMM34	10953.0
ENSG00000025796	SEC63	11231.0
ENSG00000025800	KPNA6	23633.0
ENSG00000026025	VIM	7431.0
ENSG00000026103	FAS	355.0
ENSG00000026297	RNASET2	8635.0
ENSG00000026508	CD44	960.0
ENSG00000026559	KCNG1	3755.0
ENSG00000026652	AGPAT4	56895.0
ENSG00000026751	SLAMF7	57823.0
ENSG00000026950	BTN3A1	11119.0
ENSG00000027001	MIPEP	4285.0
ENSG00000027075	PRKCH	5583.0
ENSG00000027644	INSRR	3645.0
ENSG00000027697	IFNGR1	3459.0
ENSG00000027847	B4GALT7	11285.0
ENSG00000027869	SH2D2A	9047.0
ENSG00000028116	VRK2	7444.0
ENSG00000028137	TNFRSF1B	7133.0
ENSG00000028203	VEZT	55591.0
ENSG00000028277	POU2F2	5452.0
ENSG00000028310	BRD9	65980.0
ENSG00000028528	SNX1	6642.0
ENSG00000028839	TBPL1	9519.0
ENSG00000029153	BMAL2	56938.0
ENSG00000029363	BCLAF1	9774.0
ENSG00000029364	SLC39A9	55334.0
ENSG00000029534	ANK1	286.0
ENSG00000029559	IBSP	3381.0
ENSG00000029639	TFB1M	51106.0
ENSG00000029725	RABEP1	9135.0
ENSG00000029993	HMGB3	3149.0
ENSG00000030066	NUP160	23279.0
ENSG00000030110	BAK1	578.0
ENSG00000030304	MUSK	4593.0
ENSG00000030419	IKZF2	22807.0
ENSG00000030582	GRN	2896.0
ENSG00000031003	FAM13B	51306.0
ENSG00000031081	ARHGAP31	57514.0
ENSG00000031691	CENPQ	55166.0
ENSG00000031698	SARS1	6301.0
ENSG00000031823	RANBP3	8498.0
ENSG00000032219	ARID4A	5926.0
ENSG00000032389	EIPR1	7260.0
ENSG00000032444	PNPLA6	10908.0
ENSG00000032742	IFT88	8100.0
ENSG00000033011	ALG1	56052.0
ENSG00000033030	ZCCHC8	55596.0
ENSG00000033050	ABCF2	10061.0
ENSG00000033100	CHPF2	54480.0
ENSG00000033122	LRRC7	57554.0
ENSG00000033170	FUT8	2530.0
ENSG00000033178	UBA6	55236.0
ENSG00000033327	GAB2	9846.0
ENSG00000033627	ATP6V0A1	535.0
ENSG00000033800	PIAS1	8554.0
ENSG00000033867	SLC4A7	9497.0
ENSG00000034053	APBA2	321.0
ENSG00000034152	MAP2K3	5606.0
ENSG00000034239	CLXN	79645.0
ENSG00000034510	TMSB10	9168.0
ENSG00000034533	ASTE1	28990.0
ENSG00000034677	RNF19A	25897.0
ENSG00000034693	PEX3	8504.0
ENSG00000034713	GABARAPL2	11345.0
ENSG00000034971	MYOC	4653.0
ENSG00000035115	SH3YL1	26751.0
ENSG00000035141	FAM136A	84908.0
ENSG00000035403	VCL	7414.0
ENSG00000035499	DEPDC1B	55789.0
ENSG00000035664	DAPK2	23604.0
ENSG00000035681	NSMAF	8439.0
ENSG00000035687	ADSS2	159.0
ENSG00000035720	STAP1	26228.0
ENSG00000035862	TIMP2	7077.0
ENSG00000035928	RFC1	5981.0
ENSG00000036054	TBC1D23	55773.0
ENSG00000036257	CUL3	8452.0
ENSG00000036448	MYOM2	9172.0
ENSG00000036473	OTC	5009.0
ENSG00000036530	CYP46A1	10858.0
ENSG00000036549	ZZZ3	26009.0
ENSG00000036565	SLC18A1	6570.0
ENSG00000036672	USP2	9099.0
ENSG00000036828	CASR	846.0
ENSG00000037042	TUBG2	27175.0
ENSG00000037241	RPL26L1	51121.0
ENSG00000037280	FLT4	2324.0
ENSG00000037474	NSUN2	54888.0
ENSG00000037637	FBXO42	54455.0
ENSG00000037749	MFAP3	4238.0
ENSG00000037757	MRI1	84245.0
ENSG00000037897	METTL1	4234.0
ENSG00000037965	HOXC8	3224.0
ENSG00000038002	AGA	175.0
ENSG00000038210	PI4K2B	55300.0
ENSG00000038219	BOD1L1	259282.0
ENSG00000038274	MAT2B	27430.0
ENSG00000038295	TLL1	7092.0
ENSG00000038358	EDC4	23644.0
ENSG00000038382	TRIO	7204.0
ENSG00000038427	VCAN	1462.0
ENSG00000038532	CLEC16A	23274.0
ENSG00000038945	MSR1	4481.0
ENSG00000039068	CDH1	999.0
ENSG00000039123	MTREX	23517.0
ENSG00000039139	DNAH5	1767.0
ENSG00000039319	ZFYVE16	9765.0
ENSG00000039523	RIPOR1	79567.0
ENSG00000039537	C6	729.0
ENSG00000039560	RAI14	26064.0
ENSG00000039600	SOX30	11063.0
ENSG00000039650	PNKP	11284.0
ENSG00000039987	BEST2	54831.0
ENSG00000040199	PHLPP2	23035.0
ENSG00000040275	SPDL1	54908.0
ENSG00000040341	STAU2	27067.0
ENSG00000040487	SLC66A1	54896.0
ENSG00000040531	CTNS	1497.0
ENSG00000040608	RTN4R	65078.0
ENSG00000040633	PHF23	79142.0
ENSG00000040731	CDH10	1008.0
ENSG00000040933	INPP4A	3631.0
ENSG00000041353	RAB27B	5874.0
ENSG00000041357	PSMA4	5685.0
ENSG00000041515	MYO16	23026.0
ENSG00000041802	LSG1	55341.0
ENSG00000041880	PARP3	10039.0
ENSG00000041982	TNC	3371.0
ENSG00000041988	THAP3	90326.0
ENSG00000042062	RIPOR3	140876.0
ENSG00000042088	TDP1	55775.0
ENSG00000042286	AIFM2	84883.0
ENSG00000042317	SPATA7	55812.0
ENSG00000042429	MED17	9440.0
ENSG00000042445	RETSAT	54884.0
ENSG00000042493	CAPG	822.0
ENSG00000042753	AP2S1	1175.0
ENSG00000042781	USH2A	7399.0
ENSG00000042813	ZPBP	11055.0
ENSG00000042832	TG	7038.0
ENSG00000042980	ADAM28	10863.0
ENSG00000043039	BARX2	8538.0
ENSG00000043093	DCUN1D1	54165.0
ENSG00000043143	JADE2	23338.0
ENSG00000043355	ZIC2	7546.0
ENSG00000043462	LCP2	3937.0
ENSG00000043514	TRIT1	54802.0
ENSG00000043591	ADRB1	153.0
ENSG00000044012	GUCA2B	2981.0
ENSG00000044090	CUL7	9820.0
ENSG00000044115	CTNNA1	1495.0
ENSG00000044446	PHKA2	5256.0
ENSG00000044459	CNTLN	54875.0
ENSG00000044524	EPHA3	2042.0
ENSG00000044574	HSPA5	3309.0
ENSG00000046604	DSG2	1829.0
ENSG00000046647	GEMIN8	54960.0
ENSG00000046651	OFD1	8481.0
ENSG00000046653	GPM6B	2824.0
ENSG00000046774	MAGEC2	51438.0
ENSG00000046889	PREX2	80243.0
ENSG00000047056	WDR37	22884.0
ENSG00000047188	YTHDC2	64848.0
ENSG00000047230	CTPS2	56474.0
ENSG00000047249	ATP6V1H	51606.0
ENSG00000047315	POLR2B	5431.0
ENSG00000047346	ATOSA	56204.0
ENSG00000047365	ARAP2	116984.0
ENSG00000047410	TPR	7175.0
ENSG00000047457	CP	1356.0
ENSG00000047578	KATNIP	23247.0
ENSG00000047579	DTNBP1	84062.0
ENSG00000047597	XK	7504.0
ENSG00000047617	ANO2	57101.0
ENSG00000047621	C12orf4	57102.0
ENSG00000047634	SCML1	6322.0
ENSG00000047644	WWC3	55841.0
ENSG00000047648	ARHGAP6	395.0
ENSG00000047662	FAM184B	27146.0
ENSG00000047849	MAP4	4134.0
ENSG00000047932	GOPC	57120.0
ENSG00000047936	ROS1	6098.0
ENSG00000048028	USP28	57646.0
ENSG00000048052	HDAC9	9734.0
ENSG00000048140	TSPAN17	26262.0
ENSG00000048162	NOP16	51491.0
ENSG00000048342	CC2D2A	57545.0
ENSG00000048392	RRM2B	50484.0
ENSG00000048405	ZNF800	168850.0
ENSG00000048462	TNFRSF17	608.0
ENSG00000048471	SNX29	92017.0
ENSG00000048540	LMO3	55885.0
ENSG00000048544	MRPS10	55173.0
ENSG00000048545	GUCA1A	2978.0
ENSG00000048649	RSF1	51773.0
ENSG00000048707	VPS13D	55187.0
ENSG00000048740	CELF2	10659.0
ENSG00000048828	FAM120A	23196.0
ENSG00000048991	R3HDM1	23518.0
ENSG00000049089	COL9A2	1298.0
ENSG00000049130	KITLG	4254.0
ENSG00000049167	ERCC8	1161.0
ENSG00000049192	ADAMTS6	11174.0
ENSG00000049239	H6PD	9563.0
ENSG00000049245	VAMP3	9341.0
ENSG00000049246	PER3	8863.0
ENSG00000049247	UTS2	10911.0
ENSG00000049249	TNFRSF9	3604.0
ENSG00000049283	EPN3	55040.0
ENSG00000049323	LTBP1	4052.0
ENSG00000049449	RCN1	5954.0
ENSG00000049540	ELN	2006.0
ENSG00000049541	RFC2	5982.0
ENSG00000049618	ARID1B	57492.0
ENSG00000049656	CLPTM1L	81037.0
ENSG00000049759	NEDD4L	23327.0
ENSG00000049768	FOXP3	50943.0
ENSG00000049769	PPP1R3F	89801.0
ENSG00000049860	HEXB	3074.0
ENSG00000049883	PTCD2	79810.0
ENSG00000050030	NEXMIF	340533.0
ENSG00000050130	JKAMP	51528.0
ENSG00000050165	DKK3	27122.0
ENSG00000050327	ARHGEF5	7984.0
ENSG00000050344	NFE2L3	9603.0
ENSG00000050393	MCUR1	63933.0
ENSG00000050405	LIMA1	51474.0
ENSG00000050426	LETMD1	25875.0
ENSG00000050438	SLC4A8	9498.0
ENSG00000050555	LAMC3	10319.0
ENSG00000050628	PTGER3	5733.0
ENSG00000050730	TNIP3	79931.0
ENSG00000050748	MAPK9	5601.0
ENSG00000050767	COL23A1	91522.0
ENSG00000050820	BCAR1	9564.0
ENSG00000051009	FHIP1B	84067.0
ENSG00000051108	HERPUD1	9709.0
ENSG00000051128	HOMER3	9454.0
ENSG00000051180	RAD51	5888.0
ENSG00000051341	POLQ	10721.0
ENSG00000051382	PIK3CB	5291.0
ENSG00000051523	CYBA	1535.0
ENSG00000051596	THOC3	84321.0
ENSG00000051620	HEBP2	23593.0
ENSG00000051825	MPHOSPH9	10198.0
ENSG00000052126	PLEKHA5	54477.0
ENSG00000052344	PRSS8	5652.0
ENSG00000052723	SIKE1	80143.0
ENSG00000052749	RRP12	23223.0
ENSG00000052795	FNIP2	57600.0
ENSG00000052802	MSMO1	6307.0
ENSG00000052841	TTC17	55761.0
ENSG00000052850	ALX4	60529.0
ENSG00000053108	FSTL4	23105.0
ENSG00000053254	FOXN3	1112.0
ENSG00000053328	METTL24	728464.0
ENSG00000053371	AKR7A2	8574.0
ENSG00000053372	MRTO4	51154.0
ENSG00000053438	NNAT	4826.0
ENSG00000053501	USE1	55850.0
ENSG00000053524	MCF2L2	23101.0
ENSG00000053702	NRIP2	83714.0
ENSG00000053747	LAMA3	3909.0
ENSG00000053770	AP5M1	55745.0
ENSG00000053900	ANAPC4	29945.0
ENSG00000053918	KCNQ1	3784.0
