Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Alouatta palliata	mantled howler monkey	30589	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta	HLaloPal1	GCA_004027835.1	 14,976 	 2,343 	 514 	 323 	 274 	 18,610 	 18,143 
Ammotragus lervia	aoudad	9899	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ammotragus	HLammLer1	GCA_002201775.1	 17,227 	 397 	 422 	 299 	 85 	 18,641 	 18,798 
Anoura caudifer	tailed tailless bat	27642	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Glossophaginae; Anoura	HLanoCau1	GCA_004027475.1	 15,853 	 842 	 489 	 717 	 529 	 17,620 	 17,435 
Antechinus flavipes	yellow-footed antechinus	38775	Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Antechinus	HLantFla1	GCA_016432865.1	 13,063 	 33 	 946 	 1,835 	 2,553 	 14,291 	 11,763 
Antidorcas marsupialis	springbok	59523	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Antidorcas	HLantMar1	GCA_006408585.1	 13,977 	 2,240 	 1,311 	 492 	 410 	 18,086 	 17,665 
Antilocapra americana	pronghorn	9891	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Antilocapridae; Antilocapra	HLantAme1	GCA_007570785.1	 17,039 	 379 	 506 	 417 	 89 	 18,494 	 18,680 
Antrozous pallidus	pallid bat	9440	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Antrozous	HLantPal1	GCA_007922775.1	 8,296 	 5,133 	 1,102 	 1,180 	 2,719 	 14,927 	 13,589 
Aonyx cinereus	Asian small-clawed otter	452597	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Aonyx	HLaonCin1	DNA Zoo Consortium	 15,863 	 1,409 	 430 	 405 	 323 	 18,280 	 17,981 
Aotus nancymaae	Ma's night monkey	37293	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Aotidae; Aotus	aotNan1	GCF_000952055.2	 15,772 	 785 	 1,466 	 303 	 104 	 18,807 	 18,545 
Aplodontia rufa	mountain beaver	51342	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Aplodontiidae; Aplodontia	HLaplRuf1	GCA_004027875.1	 15,288 	 1,868 	 467 	 402 	 405 	 18,181 	 18,534 
Apodemus sylvaticus	European woodmouse	10129	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Apodemus; Sylvaemus group	HLapoSyl1	GCA_001305905.1	 6,732 	 6,932 	 666 	 603 	 3,497 	 14,680 	 16,261 
Arctocephalus gazella	antarctic fur seal	37190	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Arctocephalus	HLarcGaz2	GCA_900642305.1	 7,844 	 193 	 7,633 	 2,689 	 71 	 16,182 	 16,002 
Artibeus jamaicensis	Jamaican fruit-eating bat	9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartJam1	GCA_004027435.1	 13,592 	 2,817 	 620 	 716 	 685 	 17,491 	 16,828 
Artibeus jamaicensis	Jamaican fruit-eating bat	9417	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Artibeus	HLartJam2	GCA_014825515.1	 16,655 	 346 	 688 	 621 	 120 	 18,186 	 18,212 
Arvicanthis niloticus	African grass rat	61156	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Arvicanthis	HLarvNil1	GCA_011762505.1	 17,149 	 118 	 512 	 536 	 115 	 18,305 	 21,430 
Arvicola amphibius	Eurasian water mole	1047088	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Arvicola	HLarvAmp1	GCA_903992535.1	 16,457 	 82 	 951 	 838 	 102 	 18,014 	 20,696 
Ateles geoffroyi	black-handed spider monkey	9509	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateGeo1	GCA_004024785.1	 14,959 	 2,405 	 486 	 279 	 301 	 18,635 	 18,125 
Axis porcinus	Hog deer	57737	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Axis	HLaxiPor1	GCA_003798545.1	 17,288 	 332 	 435 	 303 	 72 	 18,667 	 19,033 
Babyrousa celebensis	North Sulawesi babirusa	1303000	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Babyrousa	HLbabCel1	DNA Zoo Consortium	 14,388 	 2,545 	 505 	 413 	 579 	 17,996 	 17,608 
Balaena mysticetus	bowhead whale	27602	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Balaena	HLbalMys1	http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip	 14,162 	 2,139 	 707 	 713 	 709 	 17,531 	 17,326 
Balaenoptera acutorostrata scammoni	minke whale	310752	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera; Balaenoptera acutorostrata	balAcu1	GCF_000493695.1	 13,360 	 2,302 	 1,173 	 801 	 794 	 17,386 	 17,219 
Balaenoptera bonaerensis	Antarctic minke whale	33556	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalBon1	GCA_000978805.1	 11,773 	 3,548 	 813 	 683 	 1,613 	 16,616 	 15,630 
Balaenoptera edeni	pygmy Bryde's whale	9769	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalEde1	DNA Zoo Consortium	 15,608 	 1,105 	 656 	 738 	 323 	 17,908 	 17,561 
Balaenoptera musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalMus2	GCF_009873245.2	 16,420 	 115 	 1,043 	 791 	 61 	 18,148 	 18,136 
Balaenoptera musculus	Blue whale	9771	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalMus1	GCA_009873245.1	 15,943 	 113 	 1,436 	 892 	 46 	 18,050 	 18,047 
Balaenoptera physalus	Fin whale	9770	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	HLbalPhy1	GCA_008795845.1	 6,966 	 6,402 	 844 	 714 	 3,504 	 14,644 	 14,214 
Bassariscus astutus	ringtail	55047	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus	HLbasAst1	DNA Zoo Consortium	 14,235 	 2,678 	 466 	 393 	 658 	 17,925 	 17,495 
Bassariscus sumichrasti	Cacomistle	392507	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Bassariscus	HLbasSum1	DNA Zoo Consortium	 14,947 	 2,168 	 428 	 342 	 545 	 18,098 	 17,807 
Beatragus hunteri	-	59527	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Beatragus	HLbeaHun1	GCA_004027495.1	 15,933 	 1,349 	 441 	 375 	 332 	 18,275 	 17,920 
Bison bison bison	American bison	43346	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison	HLbisBisBis2	DNA Zoo Consortium	 12,396 	 3,275 	 815 	 348 	 1,596 	 17,044 	 16,851 
Bison bison bison	American bison	43346	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison; Bison bison	bisBis1	GCF_000754665.1	 12,414 	 3,248 	 815 	 535 	 1,418 	 17,020 	 16,977 
Bos frontalis	gayal	30520	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosFro1	GCA_007844835.1	 14,395 	 2,027 	 930 	 402 	 676 	 17,899 	 17,868 
Bos gaurus	gaur	9904	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosGau1	GCA_014182915.1	 15,714 	 94 	 2,198 	 414 	 10 	 18,627 	 19,082 
Bos grunniens	domestic yak	30521	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosGru1	GCA_005887515.2	 14,880 	 65 	 2,234 	 980 	 271 	 17,747 	 18,093 
Bos indicus	zebu cattle	9915	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosInd2	GCA_002933975.1	 15,593 	 1,674 	 359 	 361 	 443 	 18,218 	 18,475 
Bos mutus	wild yak	72004	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosMut2	GCA_007646595.3	 16,340 	 930 	 484 	 376 	 300 	 18,374 	 18,659 
Bos taurus	cattle	9913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	bosTau9	GCF_002263795.1	 17,574 	 54 	 521 	 267 	 14 	 18,779 	 19,056 
Bubalus bubalis	water buffalo	89462	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bubalus	HLbubBub2	GCF_003121395.1	 16,677 	 48 	 1,379 	 316 	 10 	 18,708 	 19,152 
Callithrix jacchus	white-tufted-ear marmoset	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalJac4	GCA_011100555.1	 17,648 	 67 	 509 	 188 	 18 	 19,038 	 18,932 
Callithrix pygmaea	pygmy marmoset	9493	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Cebuella	HLcalPym1	DNA Zoo Consortium	 15,621 	 1,774 	 501 	 340 	 194 	 18,669 	 18,078 
Callorhinus ursinus	northern fur seal	34884	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Callorhinus	HLcalUrs1	GCF_003265705.1	 17,002 	 311 	 569 	 452 	 96 	 18,462 	 18,473 
Camelus bactrianus	Bactrian camel	9837	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamBac1	GCF_000767855.1	 13,498 	 2,012 	 1,706 	 472 	 742 	 17,778 	 18,093 
Camelus dromedarius	Arabian camel	9838	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamDro2	GCF_000803125.2	 16,472 	 170 	 1,337 	 429 	 22 	 18,582 	 18,907 
Camelus ferus	Wild Bactrian camel	419612	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamFer3	GCF_009834535.1	 16,296 	 155 	 1,488 	 400 	 91 	 18,522 	 18,728 
Canis lupus dingo	dingo	286419	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	HLcanLupDin1	GCF_003254725.1	 17,237 	 114 	 722 	 322 	 35 	 18,682 	 18,865 
Canis lupus familiaris	dog	9615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	canFam5	GCA_005444595.1	 16,307 	 96 	 1,553 	 437 	 37 	 18,543 	 18,562 
Canis lupus familiaris	dog	9615	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Canis; Canis lupus	canFam4	GCA_011100685.1	 17,269 	 70 	 769 	 309 	 13 	 18,737 	 18,951 
Capra aegagrus	wild goat	9923	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapAeg1	GCA_000765075.1	 17,306 	 299 	 382 	 312 	 131 	 18,548 	 18,687 
Capra hircus	goat	9925	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapHir2	GCF_001704415.1	 17,449 	 117 	 570 	 281 	 13 	 18,758 	 19,155 
Capra ibex	Alpine ibex	72542	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapIbe1	GCA_006410555.1	 9,169 	 158 	 350 	 2,747 	 6,006 	 10,042 	 10,090 
Capra sibirica	Siberian ibex	72544	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapSib1	GCA_003182615.2	 17,601 	 119 	 402 	 285 	 23 	 18,737 	 19,109 
Capreolus pygargus	Eastern roe deer	48560	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Capreolus	HLcapPyg1	GCA_012922965.1	 16,489 	 845 	 447 	 430 	 219 	 18,371 	 18,515 
Carlito syrichta	Philippine tarsier	1868482	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Tarsiiformes; Tarsiidae; Carlito	tarSyr2	GCF_000164805.1	 13,735 	 2,593 	 683 	 401 	 1,018 	 17,693 	 17,675 
Carollia perspicillata	Seba's short-tailed bat	40233	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Carolliinae; Carollia	HLcarPer3	GCA_004027735.1	 9,639 	 5,196 	 738 	 765 	 2,092 	 15,962 	 14,404 
Castor canadensis	American beaver	51338	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	HLcasCan3	DNA Zoo Consortium	 14,502 	 928 	 2,201 	 537 	 262 	 18,243 	 19,152 
Catagonus wagneri	Chacoan peccary	51154	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Tayassuidae; Catagonus	HLcatWag1	GCA_004024745.2	 16,852 	 582 	 430 	 428 	 138 	 18,423 	 18,501 
Cavia aperea	Brazilian guinea pig	37548	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	cavApe1	GCA_000688575.1	 4,583 	 7,898 	 1,026 	 680 	 4,243 	 13,820 	 13,484 
Cavia porcellus	domestic guinea pig	10141	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	cavPor3	GCF_000151735.1	 14,620 	 1,271 	 1,491 	 650 	 398 	 17,898 	 18,520 
Cavia tschudii	Montane guinea pig	143287	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Cavia	HLcavTsc1	GCA_004027695.1	 16,304 	 756 	 499 	 603 	 268 	 18,068 	 18,352 
Cebus albifrons	white-fronted capuchin	9514	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus	HLcebAlb1	GCA_004027755.1	 13,108 	 3,777 	 632 	 373 	 540 	 18,285 	 17,442 
Cebus capucinus imitator	white-faced sapajou	1737458	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus; Cebus capucinus	cebCap1	GCF_001604975.1	 16,379 	 1,173 	 495 	 172 	 211 	 18,871 	 18,962 
Cephalophus harveyi	Harvey's duiker	129224	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Cephalophus	HLcepHar1	GCA_006410635.1	 15,723 	 1,033 	 1,108 	 373 	 193 	 18,440 	 18,343 
Cephalorhynchus commersonii	Commerson's dolphin	103582	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Cephalorhynchus	HLcepCom1	DNA Zoo Consortium	 15,691 	 774 	 653 	 1,027 	 285 	 17,601 	 17,338 
Ceratotherium simum cottoni	northern white rhinoceros	310713	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	HLcerSimCot1	GCA_004027795.1	 13,934 	 3,047 	 598 	 336 	 515 	 18,176 	 18,083 
Ceratotherium simum simum	southern white rhinoceros	73337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Ceratotherium; Ceratotherium simum	cerSim1	GCF_000283155.1	 16,524 	 889 	 429 	 282 	 306 	 18,488 	 19,057 
Cercocebus atys	sooty mangabey	9531	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercocebus	cerAty1	GCF_000955945.1	 16,886 	 404 	 926 	 188 	 26 	 19,081 	 19,050 
Cercopithecus mona	Mona monkey	36226	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus	HLcerMon1	GCA_014849445.1	 17,568 	 92 	 318 	 199 	 253 	 18,880 	 18,785 
Cercopithecus neglectus	De Brazza's monkey	36227	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus	HLcerNeg1	GCA_004027615.1	 12,105 	 4,511 	 537 	 421 	 856 	 17,951 	 16,566 
Cervus elaphus hippelaphus	red deer	46360	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus elaphus	HLcerEla1	GCA_002197005.1	 8,857 	 5,956 	 1,131 	 783 	 1,703 	 16,435 	 16,236 
Cervus hanglu yarkandensis	Yarkand deer	84702	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus; Cervus hanglu	HLcerHanYar1	GCA_010411085.1	 16,898 	 514 	 426 	 417 	 175 	 18,444 	 18,725 
Cheirogaleus medius	Lesser dwarf lemur	9460	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Cheirogaleus	HLcheMed1	GCA_008086735.1	 13,681 	 2,677 	 560 	 542 	 970 	 17,549 	 17,808 
Chinchilla lanigera	long-tailed chinchilla	34839	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Chinchillidae; Chinchilla	chiLan1	GCF_000276665.1	 15,393 	 1,460 	 492 	 552 	 533 	 17,856 	 18,571 
Chlorocebus sabaeus	green monkey	60711	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus	chlSab2	GCF_000409795.2	 17,086 	 657 	 472 	 150 	 65 	 19,094 	 19,021 
Choloepus didactylus	southern two-toed sloth	27675	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	HLchoDid1	GCA_004027855.1	 8,847 	 5,688 	 873 	 607 	 2,415 	 15,729 	 13,736 
Choloepus didactylus	southern two-toed sloth	27675	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	HLchoDid2	GCF_015220235.1	 17,001 	 130 	 885 	 301 	 113 	 18,446 	 18,834 
Choloepus hoffmanni	Hoffmann's two-fingered sloth	9358	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus	HLchoHof3	DNA Zoo Consortium	 15,520 	 1,643 	 546 	 291 	 430 	 18,112 	 18,106 
Chrysochloris asiatica	Cape golden mole	185453	Mammalia; Theria; Eutheria; Afrotheria; Chrysochloridae; Chrysochlorinae; Chrysochloris	chrAsi1	GCF_000296735.1	 16,263 	 973 	 459 	 411 	 324 	 18,090 	 17,728 
Chrysocyon brachyurus	maned wolf	68728	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Chrysocyon	HLchrBra1	DNA Zoo Consortium	 16,182 	 1,076 	 410 	 388 	 374 	 18,225 	 17,954 
Coendou prehensilis	-	187985	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Coendou	HLcoePre1	DNA Zoo Consortium	 13,870 	 2,690 	 663 	 663 	 544 	 17,744 	 18,131 
Colobus angolensis palliatus	Angolan colobus	336983	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus; Colobus angolensis	colAng1	GCF_000951035.1	 14,694 	 2,412 	 466 	 352 	 506 	 18,423 	 17,713 
Condylura cristata	star-nosed mole	143302	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Condylura	conCri1	GCF_000260355.1	 13,913 	 1,712 	 426 	 776 	 1,603 	 16,434 	 16,296 
Connochaetes taurinus	brindled gnu	9927	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Connochaetes	HLconTau2	DNA Zoo Consortium	 15,559 	 1,177 	 1,037 	 392 	 265 	 18,330 	 18,335 
Craseonycteris thonglongyai	hog-nosed bat	208972	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Craseonycteridae; Craseonycteris	HLcraTho1	GCA_004027555.1	 14,305 	 2,206 	 542 	 664 	 713 	 17,496 	 16,720 
Cricetomys gambianus	Gambian giant pouched rat	10085	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Nesomyidae; Cricetomyinae; Cricetomys	HLcriGam1	GCA_004027575.1	 15,711 	 1,078 	 435 	 695 	 511 	 17,689 	 20,418 
