Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	ref_chicken
Calcarius ornatus	-	198940	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Emberizini; Calcarius	HLcalOrn1	GCA_013397715.1	 13,618 
Calidris pugnax	ruff	198806	Aves; Neognathae; Charadriiformes; Scolopacidae; Calidris	HLcalPug1	GCA_001431845.1	 14,997 
Calidris pygmaea	Spoon-billed sandpiper	425635	Aves; Neognathae; Charadriiformes; Scolopacidae; Calidris	HLcalPyg1	GCA_003697955.1	 15,290 
Caloenas nicobarica	Nicobar pigeon	187106	Aves; Neognathae; Columbiformes; Columbidae; Caloenas	HLcalNic1	GCA_013398195.1	 14,440 
Calypte anna	Anna's hummingbird	9244	Aves; Neognathae; Caprimulgimorphae; Apodiformes; Trochilidae; Calypte	HLcalAnn5	GCA_003957555.2	 14,274 
Camarhynchus parvulus	-	87175	Aves; Neognathae; Passeriformes; Thraupidae; Camarhynchus	HLcamPar1	GCA_901933205.1	 15,139 
Campylorhamphus procurvoides	-	190295	Aves; Neognathae; Passeriformes; Dendrocolaptidae; Campylorhamphus	HLcamPro1	GCA_013396655.1	 14,195 
Cardinalis cardinalis	northern cardinal	98964	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Cardinalini; Cardinalis	HLcarCar1	GCA_014549065.1	 14,222 
Casuarius casuarius	southern cassowary	8787	Aves; Palaeognathae; Casuariiformes; Casuariidae; Casuarius	HLcasCas2	GCA_013396415.1	 14,164 
Casuarius casuarius	southern cassowary	8787	Aves; Palaeognathae; Casuariiformes; Casuariidae; Casuarius	HLcasCas1	GCA_003342895.1	 14,972 
Catharus fuscescens	veery	159581	Aves; Neognathae; Passeriformes; Turdidae; Catharus	HLcatFus1	GCA_013398975.1	 13,711 
Centropus bengalensis	lesser coucal	1463675	Aves; Neognathae; Cuculiformes; Centropidae; Centropus	HLcenBen1	GCA_013400815.1	 13,761 
Centropus unirufus	-	1118519	Aves; Neognathae; Cuculiformes; Centropidae; Centropus	HLcenUni1	GCA_013397695.1	 14,363 
Cephalopterus ornatus	amazonian umbrellabird	114276	Aves; Neognathae; Passeriformes; Cotingidae; Cephalopterus	HLcepOrn1	GCA_013396775.1	 13,908 
Cepphus grylle	-	28697	Aves; Neognathae; Charadriiformes; Alcidae; Cepphus	HLcepGry1	GCA_013401065.1	 14,876 
Cercotrichas coryphoeus	Karoo scrub-robin	614051	Aves; Neognathae; Passeriformes; Muscicapidae; Cercotrichas	HLcerCor1	GCA_013398595.1	 13,871 
Certhia brachydactyla	short-toed tree-creeper	73330	Aves; Neognathae; Passeriformes; Certhiidae; Certhiinae; Certhia	HLcerBra1	GCA_013400355.1	 13,901 
Certhia familiaris	Eurasian tree-creeper	73333	Aves; Neognathae; Passeriformes; Certhiidae; Certhiinae; Certhia	HLcerFam1	GCA_013398575.1	 12,740 
Chaetorhynchus papuensis	pygmy drongo	254446	Aves; Neognathae; Passeriformes; Rhipiduridae; Chaetorhynchus	HLchaPap1	GCA_013396525.1	 14,238 
Charadrius alexandrinus	Kentish plover	50392	Aves; Neognathae; Charadriiformes; Charadriidae; Charadrius	HLchaAle1	GCA_008711295.1	 15,210 
Charadrius vociferus	killdeer	50402	Aves; Neognathae; Charadriiformes; Charadriidae; Charadrius	chaVoc2	GCA_000708025.2	 13,790 
Chionis minor	black-faced sheathbill	227182	Aves; Neognathae; Charadriiformes; Chionididae; Chionis	HLchiMin1	GCA_013398295.1	 14,297 
Chiroxiphia lanceolata	lance-tailed manakin	296741	Aves; Neognathae; Passeriformes; Pipridae; Chiroxiphia	HLchiLan1	GCA_009829145.1	 15,018 
Chlamydotis macqueenii	Macqueen's bustard	187382	Aves; Neognathae; Gruiformes; Otididae; Chlamydotis	chlUnd1	GCA_000695195.1	 12,018 
Chlamydotis undulata undulata	Houbara bustard	187383	Aves; Neognathae; Gruiformes; Otididae; Chlamydotis; Chlamydotis undulata	HLchlUndUnd1	GCA_003400225.2	 15,076 
Chloroceryle aenea	American pygmy kingfisher	176938	Aves; Neognathae; Coraciiformes; Cerylidae; Chloroceryle	HLchlAen1	GCA_013399075.1	 12,558 
Chloropsis hardwickii	-	667144	Aves; Neognathae; Passeriformes; Corvoidea; Irenidae; Chloropsis	HLchlHar1	GCA_013390065.1	 13,412 
Chordeiles acutipennis	lesser nighthawk	118183	Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Caprimulgidae; Chordeilinae; Chordeiles	HLchoAcu1	GCA_013399635.1	 14,386 
Chroicocephalus maculipennis	brown-hooded gull	287016	Aves; Neognathae; Charadriiformes; Laridae; Chroicocephalus	HLchrMac1	GCA_013397655.1	 14,394 
Ciccaba nigrolineata	-	1118524	Aves; Neognathae; Strigiformes; Strigidae; Ciccaba	HLcicNig1	GCA_013396715.1	 10,232 
Cicinnurus regius	king bird of paradise	36263	Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Cicinnurus	HLcicReg1	GCA_003713305.1	 14,570 
Ciconia maguari	-	52777	Aves; Neognathae; Ciconiiformes; Ciconiidae; Ciconia	HLcicMag1	GCA_013399255.1	 13,722 
Cinclus mexicanus	-	161649	Aves; Neognathae; Passeriformes; Cinclidae; Cinclus	HLcinMex1	GCA_013399935.1	 13,650 
Circaetus pectoralis	black-chested snake-eagle	321084	Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Circaetus	HLcirPec1	GCA_013399555.1	 14,637 
Cisticola juncidis	-	52622	Aves; Neognathae; Passeriformes; Sylvioidea; Cisticolidae; Cisticola	HLcisJun1	GCA_013400215.1	 13,401 
Cnemophilus loriae	Loria's bird-of-paradise	254448	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Cnemophilus	HLcneLor1	GCA_013397755.1	 14,115 
Cochlearius cochlearius	boat-billed heron	110676	Aves; Neognathae; Pelecaniformes; Ardeidae; Cochlearius	HLcocCoc1	GCA_013396365.1	 14,433 
Colaptes auratus	northern flicker	51355	Aves; Neognathae; Piciformes; Picidae; Colaptes	HLcolAur1	GCA_015227895.1	 13,782 
Colinus virginianus	northern bobwhite	9014	Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Colinus	HLcolVir2	GCA_008692595.1	 13,849 
Columba livia	rock pigeon	8932	Aves; Neognathae; Columbiformes; Columbidae; Columba	HLcolLiv2	GCA_000337935.2	 14,023 
Columbina picui	picui ground-dove	115618	Aves; Neognathae; Columbiformes; Columbidae; Columbina	HLcolPic1	GCA_013397635.1	 13,032 
Copsychus sechellarum	-	797021	Aves; Neognathae; Passeriformes; Muscicapidae; Copsychus	HLcopSec1	GCA_013398635.1	 14,553 
Corapipo altera	White-ruffed manakin	415028	Aves; Neognathae; Passeriformes; Pipridae; Corapipo	HLcorAlt1	GCA_003945725.1	 14,551 
Corvus brachyrhynchos	American crow	85066	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus	corBra1	GCA_000691975.1	 13,328 
Corvus cornix cornix	hooded crow	932674	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus; Corvus cornix	HLcorCorCor4	GCA_000738735.4	 13,845 
Corvus cornix cornix	hooded crow	932674	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus; Corvus cornix	HLcorCor3	GCA_000738735.2	 12,778 
Corvus hawaiiensis	hawaiian crow	134902	Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus	HLcorHaw1	GCA_003402825.1	 15,456 
Corythaixoides concolor	grey go-away-bird	103956	Aves; Neognathae; Musophagiformes; Musophagidae; Corythaixoides	HLcorCon1	GCA_013399495.1	 14,626 
Coturnix japonica	Japanese quail	93934	Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix	cotJap2	GCA_001577835.1	 16,297 
Coturnix japonica	Japanese quail	93934	Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix	HLcotJap2	GCA_000511605.2	 14,932 
Crypturellus cinnamomeus	-	889801	Aves; Palaeognathae; Tinamiformes; Tinamidae; Crypturellus	HLcryCin1	GCA_003342915.1	 14,937 
Crypturellus soui	-	458187	Aves; Palaeognathae; Tinamiformes; Tinamidae; Crypturellus	HLcrySou1	GCA_013389845.1	 13,992 
Crypturellus undulatus	-	48396	Aves; Palaeognathae; Tinamiformes; Tinamidae; Crypturellus	HLcryUnd1	GCA_013389825.1	 13,738 
Cuculus canorus	common cuckoo	55661	Aves; Neognathae; Cuculiformes; Cuculidae; Cuculus	cucCan1	GCA_000709325.1	 13,895 
Cyanistes caeruleus	blue tit	156563	Aves; Neognathae; Passeriformes; Paridae; Cyanistes	HLcyaCae1	GCA_002901205.1	 13,410 
Cyanoderma ruficeps	rufous-capped babbler	181631	Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Cyanoderma	HLcyaRuf1	GCA_008694505.1	 14,553 
Cygnus olor	mute swan	8869	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus	HLcygOlo1	GCA_009769625.1	 15,594 
Daphoenositta chrysoptera	varied sittella	254528	Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Daphoenositta	HLdapChr1	GCA_013397915.1	 13,831 
Dicrurus megarhynchus	-	450177	Aves; Neognathae; Passeriformes; Corvoidea; Dicruridae; Dicrurus	HLdicMeg1	GCA_013399195.1	 14,259 
Diphyllodes magnificus	-	28716	Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Diphyllodes	HLdipMag1	GCA_003713285.1	 14,509 
Donacobius atricapilla	-	237420	Aves; Neognathae; Passeriformes; Mimidae; Donacobius	HLdonAtr1	GCA_013397315.1	 13,681 
Dromaius novaehollandiae	emu	8790	Aves; Palaeognathae; Casuariiformes; Dromaiidae; Dromaius	HLdroNov1	GCA_003342905.1	 14,590 
Dromaius novaehollandiae	emu	8790	Aves; Palaeognathae; Casuariiformes; Dromaiidae; Dromaius	HLdroNov2	GCA_016128335.1	 15,505 
Dromas ardeola	-	458190	Aves; Neognathae; Charadriiformes; Dromadidae; Dromas	HLdroArd1	GCA_013398915.1	 14,109 
Drymodes brunneopygia	-	626378	Aves; Neognathae; Passeriformes; Petroicidae; Drymodes	HLdryBru1	GCA_013400955.1	 13,542 
Dyaphorophyia castanea	-	1160851	Aves; Neognathae; Passeriformes; Corvoidea; Platysteiridae; Dyaphorophyia	HLdyaCas1	GCA_013397175.1	 13,956 
Eclectus roratus	Eclectus parrot	176024	Aves; Neognathae; Psittaciformes; Psittacidae; Eclectus	HLeclRor1	GCA_011763535.1	 13,012 
Edolisoma coerulescens	-	2585810	Aves; Neognathae; Passeriformes; Corvoidea; Campephagidae; Edolisoma	HLedoCoe1	GCA_013397115.1	 13,988 
Egretta garzetta	little egret	188379	Aves; Neognathae; Pelecaniformes; Ardeidae; Egretta	egrGar1	GCA_000687185.1	 13,559 
Eolophus roseicapillus	galah	176039	Aves; Neognathae; Psittaciformes; Cacatuidae; Eolophus	HLeolRos1	GCA_013397615.1	 14,236 
Eopsaltria australis	eastern yellow robin	44318	Aves; Neognathae; Passeriformes; Petroicidae; Eopsaltria	HLeopAus1	GCA_003426825.1	 15,195 
Eremophila alpestris peregrina	horned lark	2668079	Aves; Neognathae; Passeriformes; Sylvioidea; Alaudidae; Eremophila; Eremophila alpestris	HLereAlp1	GCA_009792885.1	 14,744 
Erithacus rubecula	European robin	37610	Aves; Neognathae; Passeriformes; Turdidae; Erithacus	HLeriRub1	GCA_903797595.1	 14,999 
Erythrocercus mccallii	-	107208	Aves; Neognathae; Passeriformes; Corvoidea; Dicruridae; Erythrocercus	HLeryMcc1	GCA_013397435.1	 13,698 
Erythrura gouldiae	Gouldian finch	44316	Aves; Neognathae; Passeriformes; Passeroidea; Estrildidae; Erythrura	HLeryGou1	GCA_003676055.1	 14,224 
Eubucco bourcierii	red-headed barbet	91767	Aves; Neognathae; Piciformes; Ramphastidae; Eubucco	HLeubBou1	GCA_013396675.1	 14,163 
Eudromia elegans	elegant crested-tinamou	8805	Aves; Palaeognathae; Tinamiformes; Tinamidae; Eudromia	HLeudEle1	GCA_003342815.1	 14,598 
Eudyptes chrysocome	Rockhopper penguin	79626	Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes	HLeudChr1	GCA_010085355.1	 14,709 
Eudyptes chrysolophus	Macaroni penguin	79627	Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes	HLeudChy1	GCA_010084205.1	 13,962 
Eudyptes moseleyi	Northern rockhopper penguin	2495534	Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes	HLeudMos1	GCA_010082375.1	 15,050 
Eudyptes robustus	Snares penguin	345251	Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes	HLeudRob1	GCA_010085315.1	 14,866 
Eudyptes schlegeli	Royal penguin	57240	Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes	HLeudSch1	GCA_010080425.1	 15,061 
Eudyptes sclateri	Erect-crested penguin	92688	Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes	HLeudScl1	GCA_010078445.1	 14,599 
Eulacestoma nigropectus	wattled ploughbill	461239	Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Eulacestoma	HLeulNig1	GCA_013397775.1	 14,158 
Eupsittula pertinax	brown-throated parakeet	492513	Aves; Neognathae; Psittaciformes; Psittacidae; Eupsittula	HLeupPer1	GCA_011317185.1	 13,954 
Eurypyga helias	sunbittern	54383	Aves; Neognathae; Gruiformes; Eurypygidae; Eurypyga	eurHel1	GCA_000690775.1	 11,899 
Falco cherrug	Saker falcon	345164	Aves; Neognathae; Falconiformes; Falconidae; Falco	falChe1	GCA_000337975.1	 13,889 
Falco peregrinus	peregrine falcon	8954	Aves; Neognathae; Falconiformes; Falconidae; Falco	HLfalPer2	GCA_012488915.1	 14,842 
Falco peregrinus	peregrine falcon	8954	Aves; Neognathae; Falconiformes; Falconidae; Falco	falPer1	GCA_000337955.1	 14,054 
Falco rusticolus	gyrfalcon	120794	Aves; Neognathae; Falconiformes; Falconidae; Falco	HLfalRus1	GCA_015220075.1	 15,263 
Falco tinnunculus	common kestrel	100819	Aves; Neognathae; Falconiformes; Falconidae; Falco	HLfalTin1	GCA_010332995.1	 14,627 
Falcunculus frontatus	Eastern shriketit	254539	Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Falcunculus	HLfalFro1	GCA_013398115.1	 14,189 
Ficedula albicollis	Collared flycatcher	59894	Aves; Neognathae; Passeriformes; Muscicapidae; Ficedula	ficAlb2	GCA_000247815.2	 14,338 
Formicarius rufipectus	-	1118560	Aves; Neognathae; Passeriformes; Formicariidae; Formicarius	HLforRuf1	GCA_013399695.1	 14,092 
Fringilla coelebs coelebs	chaffinch	1471794	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Fringillinae; Fringilla; Fringilla coelebs	HLfriCoeCoe1	GCA_015532645.1	 13,016 
Furnarius figulus	-	463165	Aves; Neognathae; Passeriformes; Furnariidae; Furnarius	HLfurFig1	GCA_013397465.1	 14,229 
Gavia stellata	red-throated loon	37040	Aves; Neognathae; Gaviiformes; Gaviidae; Gavia	gavSte1	GCA_000690875.1	 11,989 
Geospiza fortis	medium ground-finch	48883	Aves; Neognathae; Passeriformes; Thraupidae; Geospiza	geoFor1	GCA_000277835.1	 13,153 
Glareola pratincola	-	43316	Aves; Neognathae; Charadriiformes; Glareolidae; Glareola	HLglaPra1	GCA_013401295.1	 13,880 
Glaucidium brasilianum	ferruginous pygmy-owl	78217	Aves; Neognathae; Strigiformes; Strigidae; Glaucidium	HLglaBra1	GCA_013399595.1	 14,405 
Grallaria varia	variegated antpitta	117165	Aves; Neognathae; Passeriformes; Formicariidae; Grallaria	HLgraVar1	GCA_013396735.1	 14,017 
Guaruba guarouba	-	51906	Aves; Neognathae; Psittaciformes; Psittacidae; Guaruba	HLguaGua1	GCA_011800095.1	 13,697 
Gymnorhina tibicen	Australian magpie	9132	Aves; Neognathae; Passeriformes; Artamidae; Gymnorhina	HLgymTib1	GCA_013399875.1	 14,170 
Halcyon senegalensis	-	342381	Aves; Neognathae; Coraciiformes; Alcedinidae; Halcyon	HLhalSen1	GCA_013397595.1	 14,673 
Haliaeetus leucocephalus	bald eagle	52644	Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Haliaeetus	halLeu1	GCA_000737465.1	 14,760 
Heliornis fulica	sungrebe	54369	Aves; Neognathae; Gruiformes; Heliornithidae; Heliornis	HLhelFul1	GCA_013399135.1	 13,733 
Hemignathus virens	Hawaii amakihi	64799	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Drepanidinae; Hemignathus	HLhemVir1	GCA_003286495.1	 13,226 
Hemignathus wilsoni	Akiapolaau	2518271	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Drepanidinae; Hemignathus	HLhemWil1	GCA_009690805.1	 13,932 
Herpetotheres cachinnans	-	56343	Aves; Neognathae; Falconiformes; Falconidae; Herpetotheres	HLherCac1	GCA_013399355.1	 14,467 
Himantopus himantopus	black-winged stilt	225398	Aves; Neognathae; Charadriiformes; Recurvirostridae; Himantopus	HLhimHim2	GCA_013400095.1	 14,518 
Himantopus himantopus leucocephalus	black-winged stilt	507594	Aves; Neognathae; Charadriiformes; Recurvirostridae; Himantopus; Himantopus himantopus	HLhimHim1	GCA_003993805.1	 14,036 
Hippolais icterina	icterine warbler	68497	Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Hippolais	HLhipIct1	GCA_013400075.1	 13,559 
Hirundo rustica	Barn swallow	43150	Aves; Neognathae; Passeriformes; Sylvioidea; Hirundinidae; Hirundo	HLhirRus2	GCA_015227805.1	 14,525 
Hydrobates tethys	Wedge-rumped storm-petrel	79633	Aves; Neognathae; Procellariiformes; Hydrobatidae; Hydrobates	HLhydTet1	GCA_013397025.1	 14,206 
Hylia prasina	green hylia	208073	Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Hylia	HLhylPra1	GCA_013397195.1	 13,499 
Ibidorhyncha struthersii	-	425643	Aves; Neognathae; Charadriiformes; Charadriidae; Ibidorhyncha	HLibiStr1	GCA_013398815.1	 14,043 
Ifrita kowaldi	blue-capped ifrita	461245	Aves; Neognathae; Passeriformes; Corvoidea; Cinclosomatidae; Ifrita	HLifrKow1	GCA_013398055.1	 13,567 
Illadopsis cleaveri	blackcap illadopsis	201329	Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Illadopsis	HLillCle1	GCA_013399915.1	 13,312 
Indicator maculatus	spotted honeyguide	545262	Aves; Neognathae; Piciformes; Indicatoridae; Indicator	HLindMac1	GCA_013399975.1	 14,186 
Irena cyanogastra	fairy bluebird	175120	Aves; Neognathae; Passeriformes; Corvoidea; Irenidae; Irena	HLireCya1	GCA_013397155.1	 14,141 
Junco hyemalis	dark-eyed junco	40217	Aves; Neognathae; Passeriformes; Passerellidae; Junco	HLjunHye1	GCA_003829775.1	 13,403 
Lamprotornis superbus	-	245042	Aves; Neognathae; Passeriformes; Sturnidae; Lamprotornis	HLlamSup1	GCA_015883425.1	 14,533 
Lanius ludovicianus	-	28713	Aves; Neognathae; Passeriformes; Corvoidea; Laniidae; Lanius	HLlanLud1	GCA_013397235.1	 13,712 
Leiothrix lutea	red-billed leiothrix	36275	Aves; Neognathae; Passeriformes; Sylvioidea; Leiothrichidae; Leiothrix	HLleiLut1	GCA_013400445.1	 13,314 
Lepidothrix coronata	blue-crowned manakin	321398	Aves; Neognathae; Passeriformes; Pipridae; Lepidothrix	HLlepCor1	GCA_001604755.1	 14,487 
Leptosomus discolor	cuckoo roller	188344	Aves; Neognathae; Coraciiformes; Leptosomidae; Leptosomus	lepDis1	GCA_000691785.1	 12,398 
Leucopsar rothschildi	Bali myna	127929	Aves; Neognathae; Passeriformes; Sturnidae; Leucopsar	HLleuRot1	GCA_013397325.1	 13,617 
Locustella ochotensis	Middendorff's grasshopper-warbler	187437	Aves; Neognathae; Passeriformes; Sylvioidea; Locustellidae; Locustella	HLlocOch1	GCA_013400155.1	 13,731 
Lonchura striata domestica	Bengalese finch	299123	Aves; Neognathae; Passeriformes; Passeroidea; Estrildidae; Estrildinae; Lonchura; Lonchura striata	HLlonStr2	GCA_005870125.1	 14,665 
Lophotis ruficrista	-	172689	Aves; Neognathae; Gruiformes; Otididae; Lophotis	HLlopRuf1	GCA_013396455.1	 14,141 
Lorius garrulus	chattering lory	13114	Aves; Neognathae; Psittaciformes; Psittaculidae; Loriini; Lorius	HLlorGar1	GCA_010014925.1	 13,378 
Loxia curvirostra	Fichtenkreuzschnabel,red crossbill	64802	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Carduelinae; Loxia	HLloxCur1	GCA_013398455.1	 14,463 
Loxia leucoptera	white-winged crossbill	96539	Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Carduelinae; Loxia	HLloxLeu1	GCA_013396895.1	 13,843 
Lycocorax pyrrhopterus obiensis	-	2767082	Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Lycocorax; Lycocorax pyrrhopterus	HLlycPyrObi1	GCA_015343275.1	 13,538 
Machaerirhynchus nigripectus	-	1160894	Aves; Neognathae; Passeriformes; Corvoidea; Dicruridae; Machaerirhynchus	HLmacNig1	GCA_013397975.1	 13,837 
