ensembl	gene_name	entrezgene	protein	busco
ENSG00000284938	FAM180B	399888.0	ENSP00000496127	193815at9347
ENSG00000285182	FNBP4	23360.0	ENSP00000494562	56180at9347
ENSG00000285121	MTCH2	23788.0	ENSP00000495027	133329at9347
ENSG00000120675	DNAJC15	29103.0	ENSP00000368523	190273at9347
ENSG00000132975	GPR12	2835.0	ENSP00000384932	138566at9347
ENSG00000154654	NCAM2	4685.0	ENSP00000383392	39543at9347
ENSG00000132970	WASF3	10810.0	ENSP00000335055	105498at9347
ENSG00000288475	CASP8AP2	9994.0	ENSP00000518371	7917at9347
ENSG00000222018	C21orf140	102723451.0	ENSP00000386791	155800at9347
ENSG00000142149	HUNK	30811.0	ENSP00000270112	52773at9347
ENSG00000154642	C21orf91	54149.0	ENSP00000284881	136998at9347
ENSG00000133110	POSTN	10631.0	ENSP00000369073	35048at9347
ENSG00000159256	MORC3	23515.0	ENSP00000383333	32916at9347
ENSG00000159086	PAXBP1	94104.0	ENSP00000328992	46949at9347
ENSG00000281813	KAT6B	23522.0	ENSP00000497718	6773at9347
ENSG00000281660	DUSP29	338599.0	ENSP00000487404	164157at9347
ENSG00000205929	C21orf62	56245.0	ENSP00000418830	178778at9347
ENSG00000158270	COLEC12	81035.0	ENSP00000383115	67932at9347
ENSG00000141401	IMPA2	3613.0	ENSP00000269159	147888at9347
ENSG00000288508	ISLR	3671.0	ENSP00000499984	109353at9347
ENSG00000288257	STRA6	64220.0	ENSP00000499915	83520at9347
ENSG00000288407	CCDC33	80125.0	ENSP00000500951	51806at9347
ENSG00000288362	CYP11A1	1583.0	ENSP00000500767	68167at9347
ENSG00000288455	SEMA7A	8482.0	ENSP00000500448	48797at9347
ENSG00000291534	LTN1	26046.0	ENSP00000517021	7061at9347
ENSG00000288408	UBL7	84993.0	ENSP00000500266	135162at9347
ENSG00000023516	AKAP11	11215.0	ENSP00000025301	10579at9347
ENSG00000291523	RWDD2B	10069.0	ENSP00000516999	145529at9347
ENSG00000291527	USP16	10600.0	ENSP00000517012	40633at9347
ENSG00000120685	PROSER1	80209.0	ENSP00000332034	59975at9347
ENSG00000291525	MAP3K7CL	56911.0	ENSP00000517005	192177at9347
ENSG00000083535	PIBF1	10464.0	ENSP00000317144	53662at9347
ENSG00000176105	YES1	7525.0	ENSP00000464380	65930at9347
ENSG00000282825	CTIF	9811.0	ENSP00000489589	59979at9347
ENSG00000291544	APOB	338.0	ENSP00000517053	517at9347
ENSG00000136122	BORA	79866.0	ENSP00000375082	85147at9347
ENSG00000291547	TDRD15	100129278.0	ENSP00000517057	4521at9347
ENSG00000197705	KLHL14	57565.0	ENSP00000352314	56220at9347
ENSG00000122034	GTF3A	2971.0	ENSP00000370532	110972at9347
ENSG00000280975	CENATAC	338657.0	ENSP00000487197	133987at9347
ENSG00000280495	TRAPPC4	51399.0	ENSP00000487467	160553at9347
ENSG00000120690	ELF1	1997.0	ENSP00000239882	80958at9347
ENSG00000280682	HYOU1	10525.0	ENSP00000486825	30034at9347
ENSG00000280616	VPS11	55823.0	ENSP00000485929	23756at9347
ENSG00000281500	SLC37A4	2542.0	ENSP00000493469	95478at9347
ENSG00000154889	MPPE1	65258.0	ENSP00000465894	106299at9347
ENSG00000136155	SCEL	8796.0	ENSP00000366454	69663at9347
ENSG00000282739	SLC25A26	115286.0	ENSP00000488659	149823at9347
ENSG00000291539	SEL1L2	80343.0	ENSP00000517041	59055at9347
ENSG00000150893	FREM2	341640.0	ENSP00000280481	1086at9347
ENSG00000136111	TBC1D4	9882.0	ENSP00000496983	19470at9347
ENSG00000101489	CELF4	56853.0	ENSP00000335631	104299at9347
ENSG00000136158	SPRY2	10253.0	ENSP00000366306	150413at9347
ENSG00000281089	ATG16L1	55054.0	ENSP00000487542	61999at9347
ENSG00000281857	SAG	6295.0	ENSP00000486571	110562at9347
ENSG00000102554	KLF5	688.0	ENSP00000366915	112083at9347
ENSG00000174015	CBY2	220082.0	ENSP00000309189	108568at9347
ENSG00000134882	UBAC2	337867.0	ENSP00000383911	125592at9347
ENSG00000133119	RFC3	5983.0	ENSP00000369411	110344at9347
ENSG00000284017	PLCL2	23228.0	ENSP00000492839	20995at9347
ENSG00000017797	RALBP1	10928.0	ENSP00000019317	88099at9347
ENSG00000288503	DDX51	317781.0	ENSP00000500171	60842at9347
ENSG00000288146	NOC4L	79050.0	ENSP00000500901	76344at9347
ENSG00000141380	SS18	6760.0	ENSP00000414516	173532at9347
ENSG00000241837	ATP5PO	539.0	ENSP00000290299	173947at9347
ENSG00000188811	NHLRC3	387921.0	ENSP00000368920	107241at9347
ENSG00000154645	CHODL	140578.0	ENSP00000382993	148501at9347
ENSG00000102837	OLFM4	10562.0	ENSP00000219022	89143at9347
ENSG00000065150	IPO5	3843.0	ENSP00000499125	15940at9347
ENSG00000160307	S100B	6285.0	ENSP00000291700	201296at9347
ENSG00000281178	MLXIP	22877.0	ENSP00000486569	51604at9347
ENSG00000156273	BACH1	100379661.0	ENSP00000286800	46376at9347
ENSG00000101745	ANKRD12	23253.0	ENSP00000262126	6695at9347
ENSG00000152242	ARK2N	147339.0	ENSP00000481626	122698at9347
ENSG00000157551	KCNJ15	3772.0	ENSP00000331698	111329at9347
ENSG00000154839	SKA1	220134.0	ENSP00000285116	165729at9347
ENSG00000291559	MASP1	5648.0	ENSP00000517061	38734at9347
ENSG00000141425	RPRD1A	55197.0	ENSP00000467991	136382at9347
ENSG00000205758	CRYZL1	9946.0	ENSP00000370966	115392at9347
ENSG00000134489	HRH4	59340.0	ENSP00000256906	148819at9347
ENSG00000101773	RBBP8	5932.0	ENSP00000323050	31152at9347
ENSG00000156239	N6AMT1	29104.0	ENSP00000303584	169845at9347
ENSG00000283847	HBP1	26959.0	ENSP00000492343	70343at9347
ENSG00000284369	COG5	10466.0	ENSP00000491329	37576at9347
ENSG00000283812	GPR22	2845.0	ENSP00000492841	108861at9347
ENSG00000284103	DUS4L	11062.0	ENSP00000491438	119741at9347
ENSG00000154736	ADAMTS5	11096.0	ENSP00000284987	28538at9347
ENSG00000291629	WDR73	84942.0	ENSP00000517130	119447at9347
ENSG00000283852	BCAP29	55973.0	ENSP00000490977	168223at9347
ENSG00000157617	C2CD2	25966.0	ENSP00000329302	119592at9347
ENSG00000168234	TTC39C	125488.0	ENSP00000306598	66700at9347
ENSG00000118946	PCDH17	27253.0	ENSP00000367151	16497at9347
ENSG00000173276	ZBTB21	49854.0	ENSP00000308759	36281at9347
ENSG00000120688	WBP4	11193.0	ENSP00000368801	154587at9347
ENSG00000141622	ARK2C	494470.0	ENSP00000269439	120973at9347
ENSG00000099917	MED15	51586.0	ENSP00000292733	117654at9347
ENSG00000139514	SLC7A1	6541.0	ENSP00000370128	65499at9347
ENSG00000177511	ST8SIA3	51046.0	ENSP00000320431	105821at9347
ENSG00000176641	RNF152	220441.0	ENSP00000316628	173105at9347
ENSG00000166510	CCDC68	80323.0	ENSP00000466690	149738at9347
ENSG00000088386	SLC15A1	6564.0	ENSP00000365686	46039at9347
ENSG00000291574	TMEM131	23505.0	ENSP00000517074	8476at9347
ENSG00000291581	FAHD2B	151313.0	ENSP00000517078	127117at9347
ENSG00000166979	EVA1C	59271.0	ENSP00000372146	102725at9347
ENSG00000150907	FOXO1	2308.0	ENSP00000368880	80830at9347
ENSG00000136152	COG3	83548.0	ENSP00000258654	33329at9347
ENSG00000091164	TXNL1	9352.0	ENSP00000217515	129280at9347
ENSG00000136141	LRCH1	23143.0	ENSP00000308493	49907at9347
ENSG00000154640	BTG3	10950.0	ENSP00000344609	156885at9347
ENSG00000185721	DRG1	4733.0	ENSP00000329715	116540at9347
ENSG00000102543	CDADC1	81602.0	ENSP00000251108	70465at9347
ENSG00000283985	LIAT1	400566.0	ENSP00000492192	197962at9347
ENSG00000283883	VPS53	55275.0	ENSP00000492761	38696at9347
ENSG00000083520	DIS3	22894.0	ENSP00000366997	24480at9347
ENSG00000154719	MRPL39	54148.0	ENSP00000284967	123461at9347
ENSG00000176635	HORMAD2	150280.0	ENSP00000336984	152322at9347
ENSG00000284792	PTEN	5728.0	ENSP00000518242	98833at9347
ENSG00000155307	SAMSN1	64092.0	ENSP00000383411	154013at9347
ENSG00000100365	NCF4	4689.0	ENSP00000248899	121486at9347
ENSG00000141665	FBXO15	201456.0	ENSP00000393154	120041at9347
ENSG00000159263	SIM2	6493.0	ENSP00000290399	80425at9347
ENSG00000133103	COG6	57511.0	ENSP00000403733	56815at9347
ENSG00000183145	RIPPLY3	53820.0	ENSP00000331734	197452at9347
ENSG00000198089	SFI1	9814.0	ENSP00000402679	26884at9347
ENSG00000160208	RRP1B	23076.0	ENSP00000339145	79826at9347
ENSG00000081138	CDH7	1005.0	ENSP00000319166	40399at9347
ENSG00000160209	PDXK	8566.0	ENSP00000291565	126724at9347
ENSG00000102802	MEDAG	84935.0	ENSP00000369849	144080at9347
ENSG00000134871	COL4A2	1284.0	ENSP00000353654	24386at9347
ENSG00000160214	RRP1	8568.0	ENSP00000417464	146278at9347
ENSG00000291729	RNF139	11236.0	ENSP00000517238	50064at9347
ENSG00000166603	MC4R	4160.0	ENSP00000299766	133256at9347
ENSG00000184564	SLITRK6	84189.0	ENSP00000495507	38918at9347
ENSG00000166479	TMX3	54495.0	ENSP00000299608	97364at9347
ENSG00000184226	PCDH9	5101.0	ENSP00000367096	21214at9347
ENSG00000291669	PCDHB1	29930.0	ENSP00000517176	38779at9347
ENSG00000101542	CDH20	28316.0	ENSP00000262717	39283at9347
ENSG00000160218	TRAPPC10	7109.0	ENSP00000291574	11578at9347
ENSG00000175354	PTPN2	5771.0	ENSP00000320298	95424at9347
ENSG00000132950	ZMYM5	9205.0	ENSP00000337034	64122at9347
ENSG00000241945	PWP2	5822.0	ENSP00000291576	29577at9347
ENSG00000175664	TEX26	122046.0	ENSP00000369840	136978at9347
ENSG00000041515	MYO16	23026.0	ENSP00000349145	13911at9347
ENSG00000157540	DYRK1A	1859.0	ENSP00000495632	47111at9347
ENSG00000081913	PHLPP1	23239.0	ENSP00000262719	19039at9347
ENSG00000100354	TNRC6B	23112.0	ENSP00000338371	7844at9347
ENSG00000288478	NIPA1	123606.0	ENSP00000500344	152510at9347
ENSG00000071991	CDH19	28513.0	ENSP00000262150	41782at9347
ENSG00000288188	MAGEL2	54551.0	ENSP00000499864	60505at9347
ENSG00000187498	COL4A1	1282.0	ENSP00000364979	53989at9347
ENSG00000175329	ISX	91464.0	ENSP00000386037	175247at9347
ENSG00000100294	MCAT	27349.0	ENSP00000290429	116249at9347
ENSG00000176177	ENTHD1	150350.0	ENSP00000317431	71019at9347
ENSG00000141428	C18orf21	83608.0	ENSP00000465517	178636at9347
ENSG00000128342	LIF	3976.0	ENSP00000249075	173104at9347
ENSG00000141956	PRDM15	63977.0	ENSP00000431410	18425at9347
ENSG00000100307	CBX7	23492.0	ENSP00000216133	161999at9347
ENSG00000101282	RSPO4	343637.0	ENSP00000217260	160070at9347
ENSG00000125903	DEFB129	140881.0	ENSP00000246105	192078at9347
ENSG00000101280	ANGPT4	51378.0	ENSP00000371347	90913at9347
ENSG00000186976	EFCAB6	64800.0	ENSP00000379533	16238at9347
ENSG00000141424	SLC39A6	25800.0	ENSP00000269187	67784at9347
ENSG00000171984	SHLD1	149840.0	ENSP00000305875	183175at9347
ENSG00000198081	ZBTB14	7541.0	ENSP00000349503	91946at9347
ENSG00000291720	OMG	101927057.0	ENSP00000517225	110729at9347
ENSG00000185950	IRS2	8660.0	ENSP00000365016	23887at9347
ENSG00000291721	EVI2B	2124.0	ENSP00000517226	147418at9347
ENSG00000125820	NKX2-2	4821.0	ENSP00000366347	157573at9347
ENSG00000166573	GALR1	2587.0	ENSP00000299727	135983at9347
ENSG00000125845	BMP2	650.0	ENSP00000368104	105697at9347
ENSG00000291745	MED10	84246.0	ENSP00000517281	187975at9347
ENSG00000101327	PDYN	5173.0	ENSP00000217305	167767at9347
ENSG00000198795	ZNF521	25925.0	ENSP00000354794	10831at9347
ENSG00000125898	FAM110A	83541.0	ENSP00000371367	145882at9347
ENSG00000088448	ANKRD10	55608.0	ENSP00000267339	110795at9347
ENSG00000154059	IMPACT	55364.0	ENSP00000284202	139617at9347
ENSG00000184497	TMEM255B	348013.0	ENSP00000364502	164773at9347
ENSG00000132640	BTBD3	22903.0	ENSP00000254977	71818at9347
ENSG00000160199	PKNOX1	5316.0	ENSP00000291547	106434at9347
ENSG00000175198	PCCA	5095.0	ENSP00000365462	40091at9347
ENSG00000284774	HSF1	3297.0	ENSP00000493830	81065at9347
ENSG00000160200	CBS	102724560.0	ENSP00000381225	70767at9347
ENSG00000285482	DGAT1	8694.0	ENSP00000495489	105049at9347
ENSG00000285272	TMEM249	340393.0	ENSP00000494307	165554at9347
ENSG00000285442	FBXL6	26233.0	ENSP00000495082	84832at9347
ENSG00000285451	ADCK5	203054.0	ENSP00000494807	69894at9347
ENSG00000100426	ZBED4	9889.0	ENSP00000216268	24515at9347
ENSG00000285049	CPSF1	29894.0	ENSP00000495020	9640at9347
ENSG00000285243	SLC39A4	55630.0	ENSP00000494311	75352at9347
ENSG00000285339	VPS28	51160.0	ENSP00000495408	153702at9347
ENSG00000126216	TUBGCP3	10426.0	ENSP00000261965	29669at9347
ENSG00000125851	PCSK2	5126.0	ENSP00000367131	48425at9347
ENSG00000197971	MBP	4155.0	ENSP00000348273	125567at9347
ENSG00000075218	GTSE1	51512.0	ENSP00000415430	125099at9347
ENSG00000160202	CRYAA	102724652.0	ENSP00000291554	176027at9347
ENSG00000101230	ISM1	140862.0	ENSP00000262487	87186at9347
ENSG00000284776			ENSP00000482916	168174at9347
ENSG00000101463	SYNDIG1	79953.0	ENSP00000366058	168238at9347
ENSG00000184708	EIF4ENIF1	56478.0	ENSP00000380659	32892at9347
ENSG00000288216	SLC5A11	115584.0	ENSP00000499965	69155at9347
ENSG00000088930	XRN2	22803.0	ENSP00000366396	25189at9347
ENSG00000288353	ARHGAP17	55114.0	ENSP00000500372	52200at9347
ENSG00000152193	OBI1	79596.0	ENSP00000282003	52750at9347
ENSG00000122042	UBL3	5412.0	ENSP00000370055	190804at9347
ENSG00000286022			ENSP00000498584	49055at9347
ENSG00000185917	SETD4	54093.0	ENSP00000382163	104560at9347
ENSG00000125870	SNRPB2	6629.0	ENSP00000367178	167885at9347
ENSG00000122025	FLT3	2322.0	ENSP00000241453	19806at9347
ENSG00000101493	ZNF516	9658.0	ENSP00000394757	22118at9347
ENSG00000077984	CST7	8530.0	ENSP00000420384	189430at9347
ENSG00000101474	APMAP	57136.0	ENSP00000395874	98592at9347
ENSG00000125864	BFSP1	631.0	ENSP00000367104	106767at9347
ENSG00000134490	TMEM241	85019.0	ENSP00000372720	138875at9347
ENSG00000291748	COL3A1	1281.0	ENSP00000517283	118159at9347
ENSG00000291761	MEF2D	4209.0	ENSP00000517291	96989at9347
ENSG00000291754	IQGAP3	128239.0	ENSP00000517286	9710at9347
ENSG00000291760	TTC24	164118.0	ENSP00000517290	84263at9347
ENSG00000291756	HAPLN2	60484.0	ENSP00000517288	122301at9347
ENSG00000292251	GPATCH4	54865.0	ENSP00000518204	161468at9347
ENSG00000100347	SAMM50	25813.0	ENSP00000345445	81788at9347
ENSG00000182871	COL18A1	80781.0	ENSP00000498485	38631at9347
ENSG00000125868	DSTN	11034.0	ENSP00000246069	177559at9347
ENSG00000125834	STK35	140901.0	ENSP00000370891	81995at9347
ENSG00000198646	NCOA6	23054.0	ENSP00000363929	7535at9347
ENSG00000075234	TTC38	55020.0	ENSP00000370419	83174at9347
ENSG00000179813	FAM216B	144809.0	ENSP00000319336	195142at9347
ENSG00000134759	ELP2	55250.0	ENSP00000350967	34457at9347
ENSG00000100372	SLC25A17	10478.0	ENSP00000390722	171615at9347
ENSG00000136156	ITM2B	9445.0	ENSP00000498127	160292at9347
ENSG00000204977	TRIM13	10206.0	ENSP00000367425	102140at9347
ENSG00000183844	FAM3B	54097.0	ENSP00000350673	158180at9347
ENSG00000198553	KCNRG	283518.0	ENSP00000324191	159622at9347
ENSG00000136104	RNASEH2B	79621.0	ENSP00000496224	160158at9347
ENSG00000154734	ADAMTS1	9510.0	ENSP00000284984	23813at9347
ENSG00000100304	TTLL12	23170.0	ENSP00000216129	55286at9347
ENSG00000159055	MIS18A	54069.0	ENSP00000290130	181323at9347
ENSG00000150637	CD226	10666.0	ENSP00000280200	144679at9347
ENSG00000160193	WDR4	10785.0	ENSP00000328671	111628at9347
ENSG00000101695	RNF125	54941.0	ENSP00000217740	173285at9347
ENSG00000291835	MYG1	60314.0	ENSP00000517432	104532at9347
ENSG00000197563	PIGN	23556.0	ENSP00000492233	35067at9347
ENSG00000291836	AAAS	8086.0	ENSP00000517437	61038at9347
ENSG00000089057	SLC23A2	9962.0	ENSP00000344322	57879at9347
ENSG00000291837	SP7	121340.0	ENSP00000517441	124767at9347
ENSG00000154727	GABPA	2551.0	ENSP00000346886	90850at9347
ENSG00000159197	KCNE2	9992.0	ENSP00000290310	192236at9347
ENSG00000100422	CERK	64781.0	ENSP00000216264	74011at9347
ENSG00000291781	TTC5	91875.0	ENSP00000517308	96385at9347
ENSG00000291784	CCNB1IP1	57820.0	ENSP00000517311	142519at9347
ENSG00000089123	TASP1	55617.0	ENSP00000338624	101419at9347
ENSG00000100239	PPP6R2	9701.0	ENSP00000352051	49591at9347
ENSG00000291791	TEP1	7011.0	ENSP00000517324	4256at9347
ENSG00000291874	LRFN1	57622.0	ENSP00000517478	55347at9347
ENSG00000149639	SOGA1	140710.0	ENSP00000237536	12939at9347
ENSG00000291793	KLHL33	123103.0	ENSP00000517333	57720at9347
ENSG00000291794	OSGEP	55644.0	ENSP00000517336	115468at9347
ENSG00000291796	APEX1	328.0	ENSP00000517339	138523at9347
ENSG00000159082	SYNJ1	8867.0	ENSP00000487560	10408at9347
ENSG00000291802	PIP4P1	90809.0	ENSP00000517357	151779at9347
ENSG00000101445	PPP1R16B	26051.0	ENSP00000299824	73909at9347
ENSG00000291813	RNASE10	338879.0	ENSP00000517382	183321at9347
ENSG00000101452	DHX35	60625.0	ENSP00000362422	45467at9347
ENSG00000150510	FAM124A	220108.0	ENSP00000280057	98141at9347
ENSG00000291884	ZNF496	84838.0	ENSP00000517489	117830at9347
ENSG00000185272	RBM11	54033.0	ENSP00000383421	168057at9347
ENSG00000183530	PRR14L	253143.0	ENSP00000331845	7538at9347
ENSG00000155304	HSPA13	6782.0	ENSP00000285667	87314at9347
ENSG00000188636	RTL6	84247.0	ENSP00000340434	160398at9347
ENSG00000183527	PSMG1	8624.0	ENSP00000329915	143210at9347
ENSG00000133477	FAM83F	113828.0	ENSP00000330432	113510at9347
ENSG00000292244		55922.0	ENSP00000518188	44393at9347
ENSG00000100362	PVALB	5816.0	ENSP00000400247	198225at9347
ENSG00000124191	TOX2	84969.0	ENSP00000344724	123308at9347
ENSG00000133111	RFXAP	5994.0	ENSP00000255476	196034at9347
ENSG00000182858	ALG12	79087.0	ENSP00000333813	73553at9347
ENSG00000185658	BRWD1	54014.0	ENSP00000330753	5294at9347
ENSG00000064655	EYA2	2139.0	ENSP00000333640	75206at9347
ENSG00000291905	FCER1A	2205.0	ENSP00000517534	171100at9347
ENSG00000100321	SYNGR1	9145.0	ENSP00000332287	177602at9347
ENSG00000100095	SEZ6L	23544.0	ENSP00000384772	27072at9347
ENSG00000080618	CPB2	1361.0	ENSP00000181383	94898at9347
ENSG00000075643	MOCOS	55034.0	ENSP00000261326	28856at9347
ENSG00000136167	LCP1	3936.0	ENSP00000381581	49511at9347
ENSG00000166342	NETO1	81832.0	ENSP00000464312	71503at9347
ENSG00000291892	SPMIP5	143379.0	ENSP00000517527	169514at9347
ENSG00000215475	SIAH3	283514.0	ENSP00000383256	166577at9347
ENSG00000100360	IFT27	11020.0	ENSP00000343593	171856at9347
ENSG00000291927	GBA3	57733.0	ENSP00000517562	85973at9347
ENSG00000182093	GET1	7485.0	ENSP00000410228	179665at9347
ENSG00000102452	NALCN	259232.0	ENSP00000251127	6776at9347
ENSG00000100311	PDGFB	5155.0	ENSP00000330382	167248at9347
ENSG00000042062	RIPOR3	140876.0	ENSP00000332663	39821at9347
ENSG00000158480	SPATA2	9825.0	ENSP00000289431	90926at9347
ENSG00000138964	PARVG	64098.0	ENSP00000391583	136885at9347
ENSG00000101447	FAM83D	81610.0	ENSP00000481110	97556at9347
ENSG00000197496	SLC2A10	81031.0	ENSP00000352216	99748at9347
ENSG00000158445	KCNB1	3745.0	ENSP00000360806	33070at9347
ENSG00000149654	CDH22	64405.0	ENSP00000437790	43896at9347
