ensembl	gene_name	entrez	protein	busco
ENSG00000145982	FARS2	10667.0	ENSP00000316335	1115196at2759
ENSG00000142892	PIGK	10026.0	ENSP00000359848	1259741at2759
ENSG00000007541	PIGQ	9091.0	ENSP00000386760	1247641at2759
ENSG00000107371	EXOSC3	51010.0	ENSP00000323046	1284731at2759
ENSG00000261236	BOP1	23246.0	ENSP00000455106	759498at2759
ENSG00000181938	GINS3	64785.0	ENSP00000401018	1291729at2759
ENSG00000119421	NDUFA8	4702.0	ENSP00000362873	1526152at2759
ENSG00000232119	MCTS1	28985.0	ENSP00000360367	1257440at2759
ENSG00000163655	GMPS	8833.0	ENSP00000419851	392369at2759
ENSG00000189091	SF3B3	23450.0	ENSP00000305790	97116at2759
ENSG00000197498	RPF2	84154.0	ENSP00000402338	974865at2759
ENSG00000124155	PIGT	51604.0	ENSP00000361774	887370at2759
ENSG00000148308	GTF3C5	9328.0	ENSP00000361169	1111142at2759
ENSG00000123737	EXOSC9	5393.0	ENSP00000368984	996662at2759
ENSG00000179632	MAF1	84232.0	ENSP00000318604	939345at2759
ENSG00000122965	RBM19	9904.0	ENSP00000442053	1428854at2759
ENSG00000092108	SCFD1	23256.0	ENSP00000503347	917326at2759
ENSG00000196459	TRAPPC2	6399.0	ENSP00000352708	1426075at2759
ENSG00000104412	EMC2	9694.0	ENSP00000220853	956854at2759
ENSG00000145191	EIF2B5	8893.0	ENSP00000497160	369837at2759
ENSG00000165934	CPSF2	53981.0	ENSP00000298875	1314980at2759
ENSG00000130640	TUBGCP2	10844.0	ENSP00000252936	679187at2759
ENSG00000120800	UTP20	27340.0	ENSP00000261637	674160at2759
ENSG00000103043	VAC14	55697.0	ENSP00000261776	306227at2759
ENSG00000143315	PIGM	93183.0	ENSP00000357069	1003258at2759
ENSG00000133997	MED6	10001.0	ENSP00000451684	1251252at2759
ENSG00000006695	COX10	1352.0	ENSP00000499396	1260807at2759
ENSG00000069943	PIGB	9488.0	ENSP00000164305	901894at2759
ENSG00000119616	FCF1	51077.0	ENSP00000344393	1338131at2759
ENSG00000137806	NDUFAF1	51103.0	ENSP00000453944	1563319at2759
ENSG00000146007	ZMAT2	153527.0	ENSP00000274712	1626636at2759
ENSG00000153037	SRP19	6728.0	ENSP00000424870	1552706at2759
ENSG00000101464	PIGU	128869.0	ENSP00000217446	1339553at2759
ENSG00000101003	GINS1	9837.0	ENSP00000262460	1249159at2759
ENSG00000167881	SRP68	6730.0	ENSP00000312066	1019762at2759
ENSG00000089195	TRMT6	51605.0	ENSP00000203001	543764at2759
ENSG00000214160	ALG3	10195.0	ENSP00000380793	774318at2759
ENSG00000090316	MAEA	10296.0	ENSP00000422215	1087488at2759
ENSG00000170935	NCBP2L	392517.0	ENSP00000492033	1421503at2759
ENSG00000168701	TMEM208	29100.0	ENSP00000305892	1407446at2759
ENSG00000164338	UTP15	84135.0	ENSP00000421669	621827at2759
ENSG00000132603	NIP7	51388.0	ENSP00000254940	1405073at2759
ENSG00000114742	WDR48	57599.0	ENSP00000307491	261328at2759
ENSG00000104980	TIMM44	10469.0	ENSP00000270538	1041560at2759
ENSG00000007520	TSR3	115939.0	ENSP00000007390	1222562at2759
ENSG00000147679	UTP23	84294.0	ENSP00000308332	1364586at2759
ENSG00000101019	UQCC1	55245.0	ENSP00000363505	1428265at2759
ENSG00000055950	MRPL43	84545.0	ENSP00000315364	1620056at2759
ENSG00000134371	CDC73	79577.0	ENSP00000356405	720340at2759
ENSG00000115816	CEBPZ	10153.0	ENSP00000234170	551907at2759
ENSG00000003509	NDUFAF7	55471.0	ENSP00000002125	491869at2759
ENSG00000147677	EIF3H	8667.0	ENSP00000429931	976469at2759
ENSG00000196455	PIK3R4	30849.0	ENSP00000349205	1312453at2759
ENSG00000214517	PPME1	51400.0	ENSP00000329867	911863at2759
ENSG00000109534	GAR1	54433.0	ENSP00000378127	1530008at2759
ENSG00000107036	RIC1	57589.0	ENSP00000251879	261419at2759
ENSG00000165271	NOL6	65083.0	ENSP00000297990	176625at2759
ENSG00000132676	DAP3	7818.0	ENSP00000476592	1593937at2759
ENSG00000198730	CTR9	9646.0	ENSP00000355013	396755at2759
ENSG00000175390	EIF3F	8665.0	ENSP00000431800	1038775at2759
ENSG00000105669	COPE	11316.0	ENSP00000262812	1161199at2759
ENSG00000163636	PSMD6	9861.0	ENSP00000295901	1194691at2759
ENSG00000169251	NMD3	51068.0	ENSP00000307525	734666at2759
ENSG00000064313	TAF2	6873.0	ENSP00000367406	142542at2759
ENSG00000094880	CDC23	8697.0	ENSP00000378350	761109at2759
ENSG00000244038	DDOST	1650.0	ENSP00000399457	975158at2759
ENSG00000145020	AMT	275.0	ENSP00000273588	673132at2759
ENSG00000111361	EIF2B1	1967.0	ENSP00000416250	865202at2759
ENSG00000111358	GTF2H3	2967.0	ENSP00000228955	1220881at2759
ENSG00000112578	BYSL	705.0	ENSP00000230340	1193442at2759
ENSG00000147536	GINS4	84296.0	ENSP00000428754	1434266at2759
ENSG00000131475	VPS25	84313.0	ENSP00000253794	1094121at2759
ENSG00000104142	VPS18	57617.0	ENSP00000220509	87842at2759
ENSG00000120314	WDR55	54853.0	ENSP00000351100	1173229at2759
ENSG00000084073	ZMPSTE24	10269.0	ENSP00000361845	878143at2759
ENSG00000175595	ERCC4	2072.0	ENSP00000507912	324863at2759
ENSG00000172409	CLP1	10978.0	ENSP00000506714	814241at2759
ENSG00000140374	ETFA	2108.0	ENSP00000510473	1128607at2759
ENSG00000119723	COQ6	51004.0	ENSP00000377594	655400at2759
ENSG00000147419	CCDC25	55246.0	ENSP00000348933	1380409at2759
ENSG00000176108	CHMP6	79643.0	ENSP00000317468	1287094at2759
ENSG00000119041	GTF3C3	9330.0	ENSP00000263956	271586at2759
ENSG00000134014	ELP3	55140.0	ENSP00000428449	320059at2759
ENSG00000144182	LIPT1	51601.0	ENSP00000377114	1090038at2759
ENSG00000010292	NCAPD2	9918.0	ENSP00000325017	166920at2759
ENSG00000115524	SF3B1	23451.0	ENSP00000335321	245208at2759
ENSG00000136273	HUS1	3364.0	ENSP00000258774	1053181at2759
ENSG00000106263	EIF3B	8662.0	ENSP00000354125	1194797at2759
ENSG00000164346	NSA2	10412.0	ENSP00000483484	1079827at2759
ENSG00000134987	WDR36	134430.0	ENSP00000424628	388820at2759
ENSG00000071127	WDR1	9948.0	ENSP00000514592	325552at2759
ENSG00000161513	FDXR	2232.0	ENSP00000293195	1324510at2759
ENSG00000261796	ISY1-RAB43	100534599.0	ENSP00000411822	1513531at2759
ENSG00000109917	ZPR1	8882.0	ENSP00000227322	453044at2759
ENSG00000051596	THOC3	84321.0	ENSP00000265097	1014314at2759
ENSG00000111832	RWDD1	51389.0	ENSP00000420357	1269244at2759
ENSG00000103035	PSMD7	5713.0	ENSP00000219313	1275837at2759
ENSG00000145912	NHP2	55651.0	ENSP00000274606	1538526at2759
ENSG00000065057	NTHL1	4913.0	ENSP00000219066	1322642at2759
ENSG00000090520	DNAJB11	51726.0	ENSP00000414398	687505at2759
ENSG00000013375	PGM3	5238.0	ENSP00000513827	345441at2759
ENSG00000100479	POLE2	5427.0	ENSP00000216367	375960at2759
ENSG00000181873	IBA57	200205.0	ENSP00000355672	1342242at2759
ENSG00000113456	RAD1	5810.0	ENSP00000371469	1440961at2759
ENSG00000140105	WARS1	7453.0	ENSP00000376620	817008at2759
ENSG00000111237	VPS29	51699.0	ENSP00000447058	1233814at2759
ENSG00000167264	DUS2	54920.0	ENSP00000351769	801857at2759
ENSG00000106245	BUD31	8896.0	ENSP00000386023	1236198at2759
ENSG00000167508	MVD	4597.0	ENSP00000301012	1065019at2759
ENSG00000174177	CTU2	348180.0	ENSP00000308617	1442062at2759
ENSG00000168724	DNAJC21	134218.0	ENSP00000497410	858842at2759
ENSG00000126524	SBDS	51119.0	ENSP00000246868	1217666at2759
ENSG00000164934	DCAF13	25879.0	ENSP00000477526	418107at2759
ENSG00000178445	GLDC	2731.0	ENSP00000370737	390348at2759
ENSG00000106628	POLD2	5425.0	ENSP00000399447	736068at2759
ENSG00000172269	DPAGT1	1798.0	ENSP00000386597	1079130at2759
ENSG00000111615	KRR1	11103.0	ENSP00000229214	944899at2759
ENSG00000149196	HIKESHI	51501.0	ENSP00000278483	1223488at2759
ENSG00000128534	LSM8	51691.0	ENSP00000249299	1545004at2759
ENSG00000136709	WDR33	55339.0	ENSP00000325377	604979at2759
ENSG00000185627	PSMD13	5719.0	ENSP00000436186	919955at2759
ENSG00000135945	REV1	51455.0	ENSP00000377091	299766at2759
ENSG00000167965	MLST8	64223.0	ENSP00000457870	779909at2759
ENSG00000105185	PDCD5	9141.0	ENSP00000466214	1645187at2759
ENSG00000144895	EIF2A	83939.0	ENSP00000420537	464990at2759
ENSG00000143368	SF3B4	10262.0	ENSP00000271628	1479417at2759
ENSG00000162959	MEMO1	51072.0	ENSP00000295065	1057950at2759
ENSG00000115942	ORC2	4999.0	ENSP00000234296	1404162at2759
ENSG00000011485	PPP5C	5536.0	ENSP00000012443	671536at2759
ENSG00000071462	BUD23	114049.0	ENSP00000265758	1138059at2759
ENSG00000138381	ASNSD1	54529.0	ENSP00000260952	83779at2759
ENSG00000096401	CDC5L	988.0	ENSP00000360532	975557at2759
ENSG00000008952	SEC62	7095.0	ENSP00000337688	1474000at2759
ENSG00000089154	GCN1	10985.0	ENSP00000300648	160593at2759
ENSG00000197548	ATG7	10533.0	ENSP00000509725	549762at2759
ENSG00000213246	SUPT4H1	6827.0	ENSP00000225504	1617752at2759
ENSG00000065000	AP3D1	8943.0	ENSP00000344055	598949at2759
ENSG00000160075	SSU72	29101.0	ENSP00000291386	1304061at2759
ENSG00000139180	NDUFA9	4704.0	ENSP00000266544	721605at2759
ENSG00000198522	GPN1	11321.0	ENSP00000384255	1096688at2759
ENSG00000163933	RFT1	91869.0	ENSP00000296292	582756at2759
ENSG00000177084	POLE	5426.0	ENSP00000322570	39650at2759
ENSG00000150316	CWC15	51503.0	ENSP00000475615	1576404at2759
ENSG00000285816			ENSP00000498025	513979at2759
ENSG00000126749	EMG1	10436.0	ENSP00000470560	1266231at2759
ENSG00000020922	MRE11	4361.0	ENSP00000325863	834694at2759
ENSG00000118363	SPCS2	9789.0	ENSP00000436759	1395649at2759
ENSG00000198056	PRIM1	5557.0	ENSP00000516451	1346165at2759
ENSG00000176102	CSTF3	1479.0	ENSP00000315791	331411at2759
ENSG00000135372	NAT10	55226.0	ENSP00000433011	296129at2759
ENSG00000127837	AAMP	14.0	ENSP00000248450	1025450at2759
ENSG00000168883	USP39	10713.0	ENSP00000484024	931188at2759
ENSG00000182446	NPLOC4	55666.0	ENSP00000331487	1106766at2759
ENSG00000197170	PSMD12	5718.0	ENSP00000348442	937686at2759
ENSG00000110801	PSMD9	5715.0	ENSP00000445058	1405146at2759
ENSG00000139726	DENR	8562.0	ENSP00000280557	1490022at2759
ENSG00000117543	DPH5	51611.0	ENSP00000359127	1018517at2759
ENSG00000171953	ATPAF2	91647.0	ENSP00000417190	734341at2759
ENSG00000117597	UTP25	27042.0	ENSP00000419005	257318at2759
ENSG00000084623	EIF3I	8668.0	ENSP00000503539	866359at2759
ENSG00000117360	PRPF3	9129.0	ENSP00000315379	1322299at2759
ENSG00000065548	ZC3H15	55854.0	ENSP00000338788	1358374at2759
ENSG00000163161	ERCC3	2071.0	ENSP00000285398	100698at2759
ENSG00000159377	PSMB4	5692.0	ENSP00000290541	1228942at2759
ENSG00000077549	CAPZB	832.0	ENSP00000264202	1076134at2759
ENSG00000183431	SF3A3	10946.0	ENSP00000362110	383503at2759
ENSG00000183520	UTP11	51118.0	ENSP00000362105	1346432at2759
ENSG00000178028	DMAP1	55929.0	ENSP00000354697	918816at2759
ENSG00000117222	RBBP5	5929.0	ENSP00000264515	1001705at2759
ENSG00000143155	TIPRL	261726.0	ENSP00000356807	1377237at2759
