ensembl	gene_name	entrez	protein	busco
ENSG00000100354	TNRC6B	23112.0	ENSP00000401946	8166at40674
ENSG00000187498	COL4A1	1282.0	ENSP00000364979	56378at40674
ENSG00000175329	ISX	91464.0	ENSP00000311492	187078at40674
ENSG00000100294	MCAT	27349.0	ENSP00000290429	148507at40674
ENSG00000141428	C18orf21	83608.0	ENSP00000465517	198144at40674
ENSG00000128342	LIF	3976.0	ENSP00000249075	181178at40674
ENSG00000141956	PRDM15	63977.0	ENSP00000381556	19221at40674
ENSG00000100307	CBX7	23492.0	ENSP00000216133	169498at40674
ENSG00000101280	ANGPT4	51378.0	ENSP00000371347	94962at40674
ENSG00000141424	SLC39A6	25800.0	ENSP00000269187	72086at40674
ENSG00000171984	SHLD1	149840.0	ENSP00000305875	191786at40674
ENSG00000198081	ZBTB14	7541.0	ENSP00000349503	91748at40674
ENSG00000125820	NKX2-2	4821.0	ENSP00000366347	164843at40674
ENSG00000166573	GALR1	2587.0	ENSP00000299727	142169at40674
ENSG00000125845	BMP2	650.0	ENSP00000368104	110480at40674
ENSG00000101327	PDYN	5173.0	ENSP00000217305	170314at40674
ENSG00000198795	ZNF521	25925.0	ENSP00000354794	11274at40674
ENSG00000088448	ANKRD10	55608.0	ENSP00000267339	115872at40674
ENSG00000154059	IMPACT	55364.0	ENSP00000284202	158983at40674
ENSG00000184497	TMEM255B	348013.0	ENSP00000364502	172404at40674
ENSG00000132640	BTBD3	22903.0	ENSP00000367471	78763at40674
ENSG00000160199	PKNOX1	5316.0	ENSP00000291547	111265at40674
ENSG00000160200	CBS	102724560.0	ENSP00000344460	82800at40674
ENSG00000100426	ZBED4	9889.0	ENSP00000216268	25583at40674
ENSG00000285243	SLC39A4	55630.0	ENSP00000494227	122585at40674
ENSG00000126216	TUBGCP3	10426.0	ENSP00000261965	30968at40674
ENSG00000125851	PCSK2	5126.0	ENSP00000367131	51072at40674
ENSG00000075218	GTSE1	51512.0	ENSP00000415430	197212at40674
ENSG00000101463	SYNDIG1	79953.0	ENSP00000366058	176059at40674
ENSG00000185974	GRK1	6011.0	ENSP00000334876	71507at40674
ENSG00000088930	XRN2	22803.0	ENSP00000366396	26283at40674
ENSG00000152193	OBI1	79596.0	ENSP00000282003	61034at40674
ENSG00000122042	UBL3	5412.0	ENSP00000370055	199810at40674
ENSG00000185917	SETD4	54093.0	ENSP00000329189	109286at40674
ENSG00000125870	SNRPB2	6629.0	ENSP00000246071	175689at40674
ENSG00000122025	FLT3	2322.0	ENSP00000241453	20658at40674
ENSG00000077984	CST7	8530.0	ENSP00000420384	193734at40674
ENSG00000101474	APMAP	57136.0	ENSP00000217456	110564at40674
ENSG00000125864	BFSP1	631.0	ENSP00000367104	111612at40674
ENSG00000134490	TMEM241	85019.0	ENSP00000372720	162904at40674
ENSG00000291748	COL3A1	1281.0	ENSP00000517283	123598at40674
ENSG00000100347	SAMM50	25813.0	ENSP00000345445	85385at40674
ENSG00000125834	STK35	140901.0	ENSP00000370891	85603at40674
ENSG00000198646	NCOA6	23054.0	ENSP00000351894	7847at40674
ENSG00000179813	FAM216B	144809.0	ENSP00000319336	204403at40674
ENSG00000134759	ELP2	55250.0	ENSP00000350967	35956at40674
ENSG00000100372	SLC25A17	10478.0	ENSP00000390722	179609at40674
ENSG00000136156	ITM2B	9445.0	ENSP00000498127	167695at40674
ENSG00000204977	TRIM13	10206.0	ENSP00000367424	103303at40674
ENSG00000198553	KCNRG	283518.0	ENSP00000324191	166988at40674
ENSG00000136104	RNASEH2B	79621.0	ENSP00000496224	157491at40674
ENSG00000154734	ADAMTS1	9510.0	ENSP00000284984	31229at40674
ENSG00000100304	TTLL12	23170.0	ENSP00000216129	58549at40674
ENSG00000150637	CD226	10666.0	ENSP00000280200	151267at40674
ENSG00000160193	WDR4	10785.0	ENSP00000328671	116740at40674
ENSG00000101695	RNF125	54941.0	ENSP00000217740	181365at40674
ENSG00000101384	JAG1	182.0	ENSP00000254958	10933at40674
ENSG00000291835	MYG1	60314.0	ENSP00000517432	109257at40674
ENSG00000154727	GABPA	2551.0	ENSP00000346886	95195at40674
ENSG00000159197	KCNE2	9992.0	ENSP00000290310	201319at40674
ENSG00000100422	CERK	64781.0	ENSP00000216264	77289at40674
ENSG00000100239	PPP6R2	9701.0	ENSP00000216061	51788at40674
ENSG00000149639	SOGA1	140710.0	ENSP00000237536	13479at40674
ENSG00000159082	SYNJ1	8867.0	ENSP00000501504	10834at40674
ENSG00000101445	PPP1R16B	26051.0	ENSP00000299824	72964at40674
ENSG00000101452	DHX35	60625.0	ENSP00000252011	47479at40674
ENSG00000150510	FAM124A	220108.0	ENSP00000324625	102662at40674
ENSG00000185272	RBM11	54033.0	ENSP00000383421	175867at40674
ENSG00000183530	PRR14L	253143.0	ENSP00000331845	7851at40674
ENSG00000155304	HSPA13	6782.0	ENSP00000285667	91197at40674
ENSG00000183527	PSMG1	8624.0	ENSP00000329915	149722at40674
ENSG00000133477	FAM83F	113828.0	ENSP00000330432	118711at40674
ENSG00000292244		55922.0	ENSP00000518188	58666at40674
ENSG00000124191	TOX2	84969.0	ENSP00000344724	128967at40674
ENSG00000133111	RFXAP	5994.0	ENSP00000255476	205343at40674
ENSG00000182858	ALG12	79087.0	ENSP00000333813	76809at40674
ENSG00000064655	EYA2	2139.0	ENSP00000333640	90994at40674
ENSG00000100321	SYNGR1	9145.0	ENSP00000332287	185936at40674
ENSG00000080618	CPB2	1361.0	ENSP00000181383	119473at40674
ENSG00000075643	MOCOS	55034.0	ENSP00000261326	30112at40674
ENSG00000136167	LCP1	3936.0	ENSP00000315757	51704at40674
ENSG00000166342	NETO1	81832.0	ENSP00000313088	74679at40674
ENSG00000215475	SIAH3	283514.0	ENSP00000383256	174315at40674
ENSG00000100360	IFT27	11020.0	ENSP00000393541	184648at40674
ENSG00000291927	GBA3	57733.0	ENSP00000517562	89801at40674
ENSG00000102452	NALCN	259232.0	ENSP00000251127	7053at40674
ENSG00000100311	PDGFB	5155.0	ENSP00000370963	175018at40674
ENSG00000042062	RIPOR3	140876.0	ENSP00000332663	41548at40674
ENSG00000158480	SPATA2	9825.0	ENSP00000289431	94975at40674
ENSG00000101447	FAM83D	81610.0	ENSP00000481465	101920at40674
ENSG00000197496	SLC2A10	81031.0	ENSP00000352216	103222at40674
ENSG00000149654	CDH22	64405.0	ENSP00000437790	45819at40674
ENSG00000151287	TEX30	93081.0	ENSP00000365200	164739at40674
ENSG00000124226	RNF114	55905.0	ENSP00000244061	177559at40674
ENSG00000128791	TWSG1	57045.0	ENSP00000262120	167110at40674
ENSG00000100271	TTLL1	25809.0	ENSP00000333734	94666at40674
ENSG00000080189	SLC35C2	51006.0	ENSP00000243896	157141at40674
ENSG00000183087	GAS6	2621.0	ENSP00000331831	49490at40674
ENSG00000100124	ANKRD54	129138.0	ENSP00000215941	159403at40674
ENSG00000136159	NUDT15	55270.0	ENSP00000258662	199267at40674
ENSG00000136146	MED4	29079.0	ENSP00000258648	169524at40674
ENSG00000139687	RB1	5925.0	ENSP00000267163	34679at40674
ENSG00000124151	NCOA3	8202.0	ENSP00000361073	16441at40674
ENSG00000100300	TSPO	706.0	ENSP00000328973	193590at40674
ENSG00000078043	PIAS2	9063.0	ENSP00000317163	70752at40674
ENSG00000139746	RBM26	64062.0	ENSP00000483408	41913at40674
ENSG00000125266	EFNB2	1948.0	ENSP00000493716	133749at40674
ENSG00000138944	SHISAL1	85352.0	ENSP00000370568	192111at40674
ENSG00000134049	IER3IP1	51124.0	ENSP00000491049	210376at40674
ENSG00000215474	SKOR2	652991.0	ENSP00000414750	92583at40674
ENSG00000124089	MC3R	4159.0	ENSP00000243911	149114at40674
ENSG00000160185	UBASH3A	53347.0	ENSP00000291535	52038at40674
ENSG00000124126	PREX1	57580.0	ENSP00000361009	8009at40674
ENSG00000141384	TAF4B	6875.0	ENSP00000269142	72871at40674
ENSG00000136143	SUCLA2	8803.0	ENSP00000494360	95372at40674
ENSG00000160188	RSPH1	89765.0	ENSP00000291536	178019at40674
ENSG00000175065	DSG4	147409.0	ENSP00000311859	28915at40674
ENSG00000004961	HCCS	3052.0	ENSP00000326579	150839at40674
ENSG00000124212	PTGIS	5740.0	ENSP00000244043	100048at40674
ENSG00000134757	DSG3	1830.0	ENSP00000257189	31328at40674
ENSG00000169508	GPR183	1880.0	ENSP00000365596	137402at40674
ENSG00000139826	ABHD13	84945.0	ENSP00000365063	133045at40674
ENSG00000160191	PDE9A	5152.0	ENSP00000335242	78183at40674
ENSG00000054793	ATP9A	10079.0	ENSP00000342481	21928at40674
ENSG00000139684	ESD	2098.0	ENSP00000367992	138086at40674
ENSG00000118271	TTR	7276.0	ENSP00000237014	202740at40674
ENSG00000100220	RTCB	51493.0	ENSP00000216038	72103at40674
ENSG00000170558	CDH2	1000.0	ENSP00000382312	32958at40674
ENSG00000102468	HTR2A	3356.0	ENSP00000437737	98165at40674
ENSG00000125970	RALY	22913.0	ENSP00000246194	143921at40674
ENSG00000292232	ZNF598	90850.0	ENSP00000518178	56752at40674
ENSG00000101955	SRPX	8406.0	ENSP00000367794	95199at40674
ENSG00000133104	SPART	23111.0	ENSP00000347314	61646at40674
ENSG00000126010	GRPR	2925.0	ENSP00000369643	115451at40674
ENSG00000100104	SRRD	402055.0	ENSP00000215917	180382at40674
ENSG00000089101	CFAP61	26074.0	ENSP00000245957	16495at40674
ENSG00000100109	TFIP11	24144.0	ENSP00000383892	36931at40674
ENSG00000147027	TMEM47	83604.0	ENSP00000275954	189229at40674
ENSG00000185915	KLHL34	257240.0	ENSP00000368813	76617at40674
ENSG00000166140	ZFYVE19	84936.0	ENSP00000456223	130881at40674
ENSG00000102572	STK24	8428.0	ENSP00000442539	108564at40674
ENSG00000087301	TXNDC16	57544.0	ENSP00000281741	60830at40674
ENSG00000091482	SMPX	23676.0	ENSP00000368808	212528at40674
ENSG00000141627	DYM	54808.0	ENSP00000269445	79765at40674
ENSG00000278195	SSTR3	6753.0	ENSP00000480971	145550at40674
ENSG00000124216	SNAI1	6615.0	ENSP00000244050	157980at40674
ENSG00000187045	TMPRSS6	164656.0	ENSP00000334962	37795at40674
ENSG00000189139	FSCB	84075.0	ENSP00000344579	66631at40674
ENSG00000104081	BMF	90427.0	ENSP00000346697	180433at40674
ENSG00000176624	MEX3C	51320.0	ENSP00000385610	107675at40674
ENSG00000178235	SLITRK1	114798.0	ENSP00000366288	46904at40674
ENSG00000132965	ALOX5AP	241.0	ENSP00000369858	194880at40674
ENSG00000178473	UCN3	114131.0	ENSP00000369798	212933at40674
ENSG00000032742	IFT88	8100.0	ENSP00000261632	35177at40674
ENSG00000067082	KLF6	1316.0	ENSP00000419923	166296at40674
ENSG00000102445	RUBCNL	80183.0	ENSP00000374558	69461at40674
ENSG00000180998	GPR137C	283554.0	ENSP00000315106	133407at40674
ENSG00000100014	SPECC1L	23384.0	ENSP00000325785	26671at40674
ENSG00000126773	PCNX4	64430.0	ENSP00000384801	23316at40674
ENSG00000125247	TMTC4	84899.0	ENSP00000365408	44431at40674
ENSG00000151655	ITIH2	3698.0	ENSP00000351190	29365at40674
ENSG00000166068	SPRED1	161742.0	ENSP00000299084	111731at40674
ENSG00000154001	PPP2R5E	5529.0	ENSP00000337641	98160at40674
ENSG00000133106	EPSTI1	94240.0	ENSP00000318643	189618at40674
ENSG00000248905	FMN1	342184.0	ENSP00000479134	16187at40674
ENSG00000100024	UPB1	51733.0	ENSP00000324343	99653at40674
ENSG00000127863	TNFRSF19	55504.0	ENSP00000248484	110194at40674
ENSG00000100028	SNRPD3	6634.0	ENSP00000385266	202098at40674
ENSG00000151468	CCDC3	83643.0	ENSP00000368102	159319at40674
ENSG00000151657	KIN	22944.0	ENSP00000368881	129283at40674
ENSG00000166450	PRTG	283659.0	ENSP00000373937	16087at40674
ENSG00000198252	STYX	6815.0	ENSP00000346599	167776at40674
ENSG00000284161	EEF2K	29904.0	ENSP00000492375	49340at40674
ENSG00000123243	ITIH5	80760.0	ENSP00000380333	31124at40674
ENSG00000120158	RCL1	10171.0	ENSP00000371169	113466at40674
ENSG00000284548	METTL9	51108.0	ENSP00000491526	144693at40674
ENSG00000126790	L3HYPDH	112849.0	ENSP00000247194	135132at40674
ENSG00000051180	RAD51	5888.0	ENSP00000372088	145078at40674
ENSG00000179008	C14orf39	317761.0	ENSP00000324920	129178at40674
ENSG00000120662	MTRF1	9617.0	ENSP00000368790	112335at40674
ENSG00000134020	PEBP4	157310.0	ENSP00000256404	180565at40674
ENSG00000183354	KIAA2026	158358.0	ENSP00000382815	7881at40674
ENSG00000260314	MRC1	4360.0	ENSP00000455897	11386at40674
ENSG00000173698	ADGRG2	10149.0	ENSP00000350680	33995at40674
ENSG00000044459	CNTLN	54875.0	ENSP00000370021	79164at40674
ENSG00000100625	SIX4	51804.0	ENSP00000216513	64660at40674
ENSG00000101193	GID8	54994.0	ENSP00000266069	171095at40674
ENSG00000166734	GOLM2	113201.0	ENSP00000299957	122554at40674
ENSG00000188133	TMEM215	401498.0	ENSP00000345468	169607at40674
ENSG00000176399	DMRTA1	63951.0	ENSP00000319651	108016at40674
ENSG00000147874	HAUS6	54801.0	ENSP00000369871	60121at40674
ENSG00000107611	CUBN	8029.0	ENSP00000367064	848at40674
ENSG00000124225	PMEPA1	56937.0	ENSP00000344014	170934at40674
ENSG00000102760	RGCC	28984.0	ENSP00000368664	212660at40674
ENSG00000102763	VWA8	23078.0	ENSP00000368612	5030at40674
ENSG00000151838	CCDC175	729665.0	ENSP00000453940	62235at40674
ENSG00000100330	MTMR3	8897.0	ENSP00000384651	24182at40674
ENSG00000101365	IDH3B	3420.0	ENSP00000482773	110535at40674
ENSG00000185634	SHC4	399694.0	ENSP00000329668	69355at40674
ENSG00000122692	SMU1	55234.0	ENSP00000380336	71454at40674
ENSG00000107614	TRDMT1	1787.0	ENSP00000367030	107946at40674
ENSG00000164985	PSIP1	11168.0	ENSP00000370109	128210at40674
ENSG00000179388	EGR3	1960.0	ENSP00000430310	95644at40674
ENSG00000139679	LPAR6	10161.0	ENSP00000344353	131877at40674
ENSG00000142182	DNMT3L	29947.0	ENSP00000270172	117283at40674
ENSG00000125977	EIF2S2	8894.0	ENSP00000364119	144375at40674
ENSG00000160224	AIRE	326.0	ENSP00000291582	94635at40674
ENSG00000165474	GJB2	2706.0	ENSP00000372295	165673at40674
ENSG00000148481	MINDY3	80013.0	ENSP00000277632	91156at40674
ENSG00000104714	ERICH1	157697.0	ENSP00000262109	201089at40674
ENSG00000155975	VPS37A	137492.0	ENSP00000318629	130254at40674
ENSG00000121741	ZMYM2	7750.0	ENSP00000372324	11761at40674
ENSG00000165309	ARMC3	219681.0	ENSP00000386943	44439at40674
ENSG00000133454	MYO18B	84700.0	ENSP00000334563	3907at40674
ENSG00000020426	MNAT1	4331.0	ENSP00000261245	143266at40674
ENSG00000159167	STC1	6781.0	ENSP00000290271	164278at40674
ENSG00000137770	CTDSPL2	51496.0	ENSP00000260327	89652at40674
ENSG00000104228	TRIM35	23087.0	ENSP00000301924	89687at40674
ENSG00000158470	B4GALT5	9334.0	ENSP00000360776	111077at40674
ENSG00000267909	CCDC177	56936.0	ENSP00000469474	171196at40674
ENSG00000198042	MAK16	84549.0	ENSP00000353246	175602at40674
ENSG00000179476	C14orf28	122525.0	ENSP00000326846	120038at40674
ENSG00000160226	CFAP410	755.0	ENSP00000317302	179800at40674
ENSG00000147421	HMBOX1	79618.0	ENSP00000287701	113849at40674
ENSG00000292288	FAM167A	83648.0	ENSP00000518496	193763at40674
ENSG00000150456	EEF1AKMT1	221143.0	ENSP00000372202	174598at40674
ENSG00000150457	LATS2	26524.0	ENSP00000372035	29293at40674
ENSG00000292297	RP1L1	94137.0	ENSP00000518514	20266at40674
ENSG00000160233	LRRC3	81543.0	ENSP00000291592	171487at40674
ENSG00000285147	C8orf74	203076.0	ENSP00000495308	183612at40674
ENSG00000101115	SALL4	57167.0	ENSP00000217086	25958at40674
ENSG00000175894	TSPEAR	54084.0	ENSP00000321987	60602at40674
ENSG00000151849	CENPJ	55835.0	ENSP00000371308	23463at40674
ENSG00000166200	COPS2	9318.0	ENSP00000373553	95493at40674
ENSG00000101144	BMP7	655.0	ENSP00000379204	102126at40674
ENSG00000285022	MFHAS1	9258.0	ENSP00000493730	21664at40674
ENSG00000292308	PRAG1	157285.0	ENSP00000518548	82664at40674
ENSG00000132631	SCP2D1	140856.0	ENSP00000366645	191364at40674
ENSG00000050130	JKAMP	51528.0	ENSP00000479775	139786at40674
ENSG00000184787	UBE2G2	7327.0	ENSP00000338348	189822at40674
ENSG00000100359	SGSM3	27352.0	ENSP00000248929	39898at40674
ENSG00000204740	MALRD1	340895.0	ENSP00000412763	3256at40674
ENSG00000156687	UNC5D	137970.0	ENSP00000394303	23260at40674
ENSG00000180730	SHISA2	387914.0	ENSP00000313079	157281at40674
ENSG00000133105	RXFP2	122042.0	ENSP00000298386	51396at40674
ENSG00000148488	ST8SIA6	338596.0	ENSP00000366827	149836at40674
ENSG00000183255	PTTG1IP	754.0	ENSP00000328325	206948at40674
ENSG00000136750	GAD2	2572.0	ENSP00000259271	57909at40674
ENSG00000131831	RAI2	10742.0	ENSP00000333456	109318at40674
ENSG00000186866	POFUT2	23275.0	ENSP00000339613	94677at40674
ENSG00000137776	SLTM	79811.0	ENSP00000369887	71250at40674
ENSG00000038945	MSR1	4481.0	ENSP00000262101	103053at40674
ENSG00000150051	MKX	283078.0	ENSP00000364946	122454at40674
ENSG00000100647	SUSD6	9766.0	ENSP00000344424	145916at40674
ENSG00000153714	LURAP1L	286343.0	ENSP00000321026	193215at40674
ENSG00000263761	GDF2	2658.0	ENSP00000463051	129699at40674
ENSG00000169906	S100G	795.0	ENSP00000369547	211444at40674
ENSG00000086102	NFX1	4799.0	ENSP00000368856	20103at40674
ENSG00000102218	RP2	6102.0	ENSP00000218340	129101at40674
ENSG00000087510	TFAP2C	7022.0	ENSP00000201031	100960at40674
ENSG00000012174	MBTPS2	51360.0	ENSP00000368798	89448at40674
ENSG00000129521	EGLN3	112399.0	ENSP00000250457	156643at40674
ENSG00000184402	SS18L1	26039.0	ENSP00000333012	184471at40674
ENSG00000101361	NOP56	10528.0	ENSP00000370589	104820at40674
ENSG00000138593	SECISBP2L	9728.0	ENSP00000453854	25174at40674
ENSG00000170345	FOS	2353.0	ENSP00000306245	148050at40674
ENSG00000189306	RRP7A	27341.0	ENSP00000321449	182309at40674
ENSG00000175985	PLEKHD1	400224.0	ENSP00000317175	114405at40674
ENSG00000148482	SLC39A12	221074.0	ENSP00000366588	58543at40674
ENSG00000100246	DNAL4	10126.0	ENSP00000216068	202778at40674
ENSG00000103657	HERC1	8925.0	ENSP00000390158	556at40674
ENSG00000183741	CBX6	23466.0	ENSP00000384490	154574at40674
ENSG00000137106	GRHPR	9380.0	ENSP00000313432	131172at40674
ENSG00000147454	SLC25A37	51312.0	ENSP00000429200	137805at40674
ENSG00000276130	SLC22A18	5002.0	ENSP00000479357	135994at40674
ENSG00000177669	MBOAT4	619373.0	ENSP00000314196	119479at40674
ENSG00000172671	ZFAND4	93550.0	ENSP00000339484	52554at40674
ENSG00000188779	SKOR1	390598.0	ENSP00000343200	56386at40674
ENSG00000165898	ISCA2	122961.0	ENSP00000452007	202882at40674
ENSG00000100324	TAB1	10454.0	ENSP00000216160	84137at40674
ENSG00000122033	MTIF3	219402.0	ENSP00000370508	161638at40674
ENSG00000123171	CCDC70	83446.0	ENSP00000242819	198946at40674
ENSG00000137880	GCHFR	2644.0	ENSP00000260447	208143at40674
ENSG00000125245	GPR18	2841.0	ENSP00000343428	153076at40674
ENSG00000128268	MGAT3	4248.0	ENSP00000345270	65948at40674
ENSG00000132938	MTUS2	23281.0	ENSP00000483729	52260at40674
ENSG00000196074	SYCP2	10388.0	ENSP00000350162	15374at40674
ENSG00000074410	CA12	771.0	ENSP00000178638	136345at40674
ENSG00000042317	SPATA7	55812.0	ENSP00000377176	71412at40674
ENSG00000102524	TNFSF13B	10673.0	ENSP00000365048	180591at40674
ENSG00000165186	PTCHD1	139411.0	ENSP00000368666	31065at40674
ENSG00000169895	SYAP1	94056.0	ENSP00000369500	167068at40674
ENSG00000133878	DUSP26	78986.0	ENSP00000256261	180501at40674
ENSG00000167034	NKX3-1	4824.0	ENSP00000370253	192259at40674
ENSG00000187051	RPS19BP1	91582.0	ENSP00000333948	207524at40674
ENSG00000273831	LRRC56	115399.0	ENSP00000477831	123588at40674
ENSG00000008086	CDKL5	6792.0	ENSP00000485244	27839at40674
ENSG00000157578	LCA5L	150082.0	ENSP00000288350	127517at40674
ENSG00000130702	LAMA5	3911.0	ENSP00000252999	943at40674
ENSG00000168267	PTF1A	256297.0	ENSP00000365687	158251at40674
ENSG00000104219	ZDHHC2	51201.0	ENSP00000262096	130135at40674
ENSG00000273572	CDHR5	53841.0	ENSP00000482865	130916at40674
ENSG00000168300	PCMTD1	115294.0	ENSP00000353739	130835at40674
ENSG00000198718	TOGARAM1	23116.0	ENSP00000354917	7860at40674
ENSG00000104765	BNIP3L	665.0	ENSP00000370003	195091at40674
ENSG00000151835	SACS	26278.0	ENSP00000371729	361at40674
ENSG00000151023	ENKUR	219670.0	ENSP00000365541	161191at40674
ENSG00000136770	DNAJC1	64215.0	ENSP00000366179	116328at40674
ENSG00000166233	ARIH1	25820.0	ENSP00000369217	79690at40674
ENSG00000149657	LSM14B	149986.0	ENSP00000279068	158880at40674
ENSG00000053770	AP5M1	55745.0	ENSP00000261558	86731at40674
ENSG00000165443	PHYHIPL	84457.0	ENSP00000362987	110899at40674
